name,v_nom,x,y,frequency,operator,wkt_srid_4326,ref,voltage,typ,osm_name
181,220.0,14.0336963685,53.5078685981,,50Hertz Transmission GmbH;E.ON edis AG,SRID=4326;POINT(14.0336963684666 53.5078685980791),,220000;110000,substation,Pasewalk
182,220.0,14.4762521007,53.1967495481,,PSE Operator,SRID=4326;POINT(14.4762521006827 53.1967495480613),KRA,400000;220000,substation,"Stacja elektroenergetyczna ""Krajnik"" 400/220 kV"
183,380.0,9.90884752815,53.4880466404,50,50Hertz Transmission;Stromnetz Hamburg GmbH,SRID=4326;POINT(9.90884752815356 53.4880466403676),,380000;110000,substation,Umspannwerk Hamburg/Süd
184,380.0,6.61738109143,51.4757909636,50,Amprion,SRID=4326;POINT(6.61738109142906 51.4757909635544),,380000;220000;110000,substation,Station Utfort
185,220.0,6.65673519501,51.3795236344,50,,SRID=4326;POINT(6.65673519501182 51.379523634379),,220000;110000,substation,Uerdingen
186,380.0,6.71114527446,51.5261875491,50,Amprion,SRID=4326;POINT(6.7111452744645 51.5261875490663),,380000,substation,Walsum Block 10
187,380.0,6.68934277039,51.5764228882,,Amprion,SRID=4326;POINT(6.68934277038931 51.5764228881728),,380000,substation,Station Zensenbusch
188,220.0,6.72365237186,51.3758458109,,,SRID=4326;POINT(6.72365237186396 51.375845810902),,,generator,Kraftwerk Huckingen
189,380.0,8.61664767275,48.0659537907,50,,SRID=4326;POINT(8.61664767275337 48.0659537906797),TRSNG,380000;110000,substation,Umspannwerk Trossingen
190,380.0,8.87294280488,48.3100912582,50,EnBW,SRID=4326;POINT(8.87294280487974 48.3100912582216),ENGST,380000,substation,EnBW Umspannwerk Engstlatt
191,380.0,6.71525259692,51.5267908666,50,Amprion,SRID=4326;POINT(6.71525259691926 51.5267908666491),,220000;110000,substation,Station Walsum
192,220.0,12.1857651812,53.810859799,,EON_edis,SRID=4326;POINT(12.1857651811846 53.8108597989599),,220000;110000,substation,Güstrow
193,220.0,6.7225698095,51.4797876727,50,,SRID=4326;POINT(6.72256980950278 51.4797876727124),,380000;220000;110000,substation,Station Beeck
194,380.0,6.6830656826,51.5771047777,,evonik,SRID=4326;POINT(6.68306568260248 51.577104777735),,,generator,Kraftwerk Voerde
195,380.0,6.68310697664,51.5756455059,,,SRID=4326;POINT(6.68310697663871 51.5756455059265),,220000,substation,Station Möllen
196,220.0,6.74541676675,51.498641948,,,SRID=4326;POINT(6.74541676675317 51.4986419480434),,220000,substation,
197,220.0,6.61427855504,51.6186788033,50,,SRID=4326;POINT(6.61427855504049 51.6186788033284),,220000;110000,substation,Spellen
198,380.0,7.97065689371,51.6768446668,50,,SRID=4326;POINT(7.9706568937083 51.6768446667846),,380000,substation,
199,220.0,7.44506930371,51.6185000869,,Amprion,SRID=4326;POINT(7.44506930371379 51.6185000869374),,220000;110000,substation,Station Elmenhorst
200,220.0,6.73212495036,51.4594437366,50,Amprion,SRID=4326;POINT(6.73212495035583 51.4594437365975),,220000;110000,substation,Station Ruhrort
201,380.0,9.25103425144,53.1144323051,50,EON_Netz,SRID=4326;POINT(9.25103425143703 53.1144323051271),,380000;220000;110000,substation,Sottrum
202,380.0,7.32089257542,52.4714572265,,KKW Lippe-Ems,SRID=4326;POINT(7.32089257541703 52.4714572265383),KKE,,plant,Kernkraftwerk Emsland
203,380.0,6.75917485282,52.2488578799,,TenneT,SRID=4326;POINT(6.75917485282445 52.2488578798871),,380000,substation,380kV Hengelo
204,220.0,7.70632726934,51.2785831552,,markE,SRID=4326;POINT(7.70632726933662 51.278583155205),,220000;110000,substation,Elverlingsen
205,220.0,7.45034204531,51.4136082128,,RWE Power AG,SRID=4326;POINT(7.45034204531003 51.413608212821),,,plant,Koepchenwerk
206,380.0,6.63448162267,51.0359799381,,,SRID=4326;POINT(6.63448162267058 51.0359799381303),,,plant,RWE Kraftwerk Neurath BoA Bl. F/G
207,220.0,7.60711612154,51.8986046029,50,Amprion,SRID=4326;POINT(7.60711612154456 51.8986046029193),,220000,substation,Amelsbüren
208,380.0,7.40354443406,51.644449488,50,RWE,SRID=4326;POINT(7.4035444340631 51.644449487967),,380000,substation,Station Lippe
209,380.0,8.93969252741,52.4030332405,50,TenneT TSO GmbH,SRID=4326;POINT(8.93969252741257 52.4030332405173),3018,380000,substation,Schaltanlage Ovenstädt
210,380.0,9.40952032742,52.0343166659,,Gemeinschaftskernkraftwerk Grohnde GmbH & Co. oHG,SRID=4326;POINT(9.40952032742215 52.034316665873),KWG,,plant,Kernkraftwerk Grohnde
211,380.0,7.23579344537,49.3693923629,50,Amprion,SRID=4326;POINT(7.23579344536789 49.3693923629482),,380000,substation,Mittelbexbach
212,380.0,6.81368431456,49.7248340737,50,Amprion; Westnetz,SRID=4326;POINT(6.81368431456473 49.7248340737293),,380000;110000,substation,Station Osburg
213,220.0,8.58869049603,49.815514058,50,RWE,SRID=4326;POINT(8.58869049603326 49.8155140579794),,220000;110000,substation,Umspannanlage Pfungstadt
214,220.0,8.54716092521,49.4405396661,50,Net,SRID=4326;POINT(8.5471609252134 49.4405396661002),,220000;110000,substation,Station Rheinau
215,220.0,8.40826973551,49.5285689246,50,,SRID=4326;POINT(8.40826973550855 49.5285689245626),,220000,substation,BASF
216,380.0,9.19078743692,48.9144168738,50,Amprion,SRID=4326;POINT(9.1907874369222 48.914416873799),,380000;220000;110000,substation,Umspannstation Hoheneck Amprion
217,380.0,12.1320699705,54.1424598756,50,,SRID=4326;POINT(12.1320699705054 54.14245987564),,,generator,Kraftwerk Rostock
218,220.0,12.2135605441,54.1119998545,,E.ON edis AG,SRID=4326;POINT(12.2135605440795 54.1119998545154),,220000;110000,substation,Bentwisch
219,380.0,8.57125882787,52.1053649602,50,TenneT,SRID=4326;POINT(8.5712588278729 52.1053649602273),,380000;110000,substation,Eickum
220,380.0,8.6593729029,51.9996101319,50,TenneT,SRID=4326;POINT(8.65937290290079 51.9996101318907),,380000;220000;110000,substation,Umspannwerk Bechterdissen
221,380.0,7.31136229106,53.1257665563,50;0,TenneT;EON_Netz,SRID=4326;POINT(7.31136229105814 53.1257665563186),DIEL,380000;150000;110000,substation,Diele
222,380.0,6.94948397154,53.1235378223,,TenneT,SRID=4326;POINT(6.94948397153705 53.1235378223082),,380000;220000,substation,380kV Meeden
223,220.0,8.27327814618,49.0293980916,50,Pfalzwerke AG,SRID=4326;POINT(8.27327814618118 49.0293980916396),,220000;110000,substation,Umspannwerk Maximiliansau
224,220.0,8.35233388,49.4212743387,50,Pfalzwerke,SRID=4326;POINT(8.3523338799966 49.4212743386606),,220000;110000,substation,Netzleitstelle Mutterstadt
225,220.0,7.72920197914,49.4826474298,50,Amprion,SRID=4326;POINT(7.72920197913641 49.4826474297682),,220000;110000,substation,Otterbach
226,220.0,9.79733602695,52.0008392513,50,TenneT;EON_Netz,SRID=4326;POINT(9.79733602695253 52.0008392513306),,220000;110000,substation,Godenau
227,380.0,10.0821573265,48.2660901579,50,Ampirion,SRID=4326;POINT(10.0821573264928 48.2660901578788),,380000,substation,Vöhringen Amprion
228,220.0,8.62716125806,49.543595267,50,,SRID=4326;POINT(8.62716125806072 49.5435952670263),,220000;110000,substation,Umspannwerk Weinheim
229,220.0,8.50180851653,49.4449115114,,,SRID=4326;POINT(8.50180851652818 49.4449115114399),,220000;110000,substation,Mannheim
230,380.0,10.3917760569,48.5184609118,,Amprion,SRID=4326;POINT(10.391776056934 48.5184609117668),,380000,substation,Umspannwerk Gundelfingen
231,380.0,7.95805402329,47.5954722641,50,Schluchseewerk AG,SRID=4326;POINT(7.95805402328778 47.5954722640613),,380000;220000,substation,Lastverteilung/Schaltanlage Kühmoos
232,380.0,10.0837512707,48.2688675153,50,LEW,SRID=4326;POINT(10.0837512706734 48.268867515302),Station Nr. 625,380000;220000;110000,substation,Vöhringen LEW
233,380.0,9.88551509757,48.3040743585,50,EnBW,SRID=4326;POINT(9.88551509756969 48.3040743584705),,380000;220000;110000,substation,Umspannwerk Dellmensingen
234,220.0,9.01340238046,47.8453486311,50,,SRID=4326;POINT(9.01340238045655 47.8453486310857),,220000;110000,substation,Umspannwerk Stockach
235,220.0,8.25192548128,47.6397698265,50,EnBW,SRID=4326;POINT(8.25192548128222 47.6397698264894),,220000;110000,substation,Umspannwerk Gurtweil
236,380.0,9.19675652645,48.912963438,50,EnBW,SRID=4326;POINT(9.19675652645089 48.9129634380259),,220000;110000,substation,Umspannwerk Hoheneck EnBW
237,220.0,6.13981113771,49.6686086456,,,SRID=4326;POINT(6.13981113770544 49.6686086456422),,220000;65000,substation,Heisdorf
238,220.0,6.62053556843,49.7489386711,50,Amprion,SRID=4326;POINT(6.62053556843084 49.7489386710632),,220000,substation,Station Trier
239,220.0,6.70228540768,49.8289944201,50,Amprion; Westnetz,SRID=4326;POINT(6.70228540768092 49.8289944201161),,220000;110000,substation,Station Quint
240,220.0,8.5315149394,50.0478743321,50,Süwag,SRID=4326;POINT(8.53151493939883 50.047874332134),,220000,substation,Station Kelsterbach
241,380.0,8.47137163304,50.0972077428,50,Amprion,SRID=4326;POINT(8.4713716330449 50.0972077427754),,380000;110000,substation,Umspannwerk Kriftel
242,380.0,8.0657379664,50.4060681119,,"Amprion, Süwag",SRID=4326;POINT(8.06573796639762 50.4060681118621),,380000;110000,substation,Station Limburg
245,380.0,8.98953614978,50.0602550608,50,Amprion,SRID=4326;POINT(8.98953614977701 50.0602550608281),,380000;110000,substation,Karlstein
246,380.0,8.95870856177,50.0826078105,50,TenneT,SRID=4326;POINT(8.95870856177306 50.0826078105489),,380000;220000,substation,Umspannwerk Großkrotzenburg
247,380.0,10.3633842323,47.7383368093,50,Amprion,SRID=4326;POINT(10.363384232266 47.7383368092793),,380000;220000,substation,Schaltanlage Leupolz
248,380.0,7.46150025902,51.6146143079,,Trianel,SRID=4326;POINT(7.46150025901999 51.6146143079042),,,generator,Trianel Kraftwerk Lünen
249,380.0,7.71823231963,51.6743422007,,,SRID=4326;POINT(7.71823231962748 51.6743422007117),,,generator,Gersteinwerk Block K
250,380.0,7.7155434195,51.6736430745,,,SRID=4326;POINT(7.71554341949648 51.6736430744508),,,generator,Gersteinwerk Block F
251,380.0,7.7145945335,51.6730996381,,,SRID=4326;POINT(7.71459453349968 51.6730996381138),,,generator,Gersteinwerk Block G
252,380.0,7.71270093431,51.6726636622,,,SRID=4326;POINT(7.71270093431027 51.672663662233),,,generator,Gersteinwerk Block I
253,380.0,7.98122159643,51.6735262619,50,Amprion,SRID=4326;POINT(7.98122159643085 51.6735262619046),,380000;110000,substation,Station Lippborg
254,220.0,7.79256714933,49.8105487811,50,,SRID=4326;POINT(7.79256714933307 49.8105487811028),,220000;110000,substation,Niederhausen
255,220.0,6.92013045453,49.9705818905,,Amprion; Westnetz,SRID=4326;POINT(6.92013045452502 49.9705818904706),,220000;110000,substation,Station Wengerohr
256,220.0,6.75552340557,49.3648695915,50,VSE,SRID=4326;POINT(6.75552340556687 49.3648695914696),,220000,substation,Dieffeln
257,380.0,8.41467459584,49.7091468139,,RWE,SRID=4326;POINT(8.41467459584413 49.7091468139245),,,plant,Kernkraftwerk Biblis
258,220.0,9.88280429847,51.5155074977,50,TenneT;AVACON,SRID=4326;POINT(9.88280429847019 51.5155074976724),,220000;110000,substation,Umspannwerk Rosdorf
259,220.0,9.85139357253,51.64913524,50,TenneT;EON_Netz,SRID=4326;POINT(9.85139357253472 51.6491352399809),,220000;110000,substation,Hardegsen
260,380.0,8.78579302529,48.5837674015,50,EnBW,SRID=4326;POINT(8.78579302528601 48.5837674015328),OBJTT,380000;110000,substation,EnBW Umspannwerk Oberjettingen
261,380.0,9.04543496799,48.9029620138,50,EnBW Transportnetze AG,SRID=4326;POINT(9.0454349679866 48.9029620137561),,380000;220000;110000,substation,380kV-Umspannwerk Pulverdingen
262,380.0,9.8013171669,47.6525043241,50,,SRID=4326;POINT(9.8013171668981 47.6525043240978),,380000,substation,Umspannwerk Obermooweiler
263,380.0,9.81091689215,47.1426452967,,Vorarlberger Illwerke AG,SRID=4326;POINT(9.81091689214732 47.142645296653),,380000;220000,substation,Umspannwerk Bürs
264,380.0,9.42551238607,48.0643507981,,EnBW,SRID=4326;POINT(9.42551238607291 48.0643507981263),,380000;220000;110000,substation,Umspannwerk Herbertingen
265,220.0,8.1049595741,52.264261374,50,Amprion,SRID=4326;POINT(8.10495957410199 52.2642613740358),,220000;110000,substation,Station Lüstringen
266,220.0,12.1301906295,47.913165482,,"Tennet TSO GmbH, E.ON Netz GmbH",SRID=4326;POINT(12.1301906295374 47.9131654820025),,220000,substation,Umspannwerk Marienberg
267,380.0,6.8018236571,51.1247880606,50,RWE,SRID=4326;POINT(6.8018236570969 51.1247880606241),,220000;110000,substation,Station Sankt Peter 220 kV
268,220.0,7.98506745762,50.8422254447,50,Amprion,SRID=4326;POINT(7.98506745761923 50.8422254447013),,220000;110000,substation,Station Eiserfeld
269,380.0,8.28486177867,50.7590735195,50,e.on;Mitte AG,SRID=4326;POINT(8.284861778672 50.7590735194915),,380000;110000,substation,Dillenburg
270,220.0,7.22423842685,53.3499271469,50,TenneT;EON_Netz,SRID=4326;POINT(7.22423842685352 53.3499271468647),EMDB,220000;110000,substation,Emden-Borßum
271,220.0,7.20605284001,53.3413192542,,,SRID=4326;POINT(7.20605284001418 53.3413192541639),EMDE,220000;110000,substation,Umspannwerk Kraftwerk Emden
272,380.0,9.31819523639,54.716049409,50,TenneT,SRID=4326;POINT(9.31819523638713 54.7160494089748),FLEN,380000;220000;110000;20000,substation,Flensburg
273,220.0,9.27063390877,55.0370264816,,Energinet.dk,SRID=4326;POINT(9.27063390877085 55.0370264816237),KAS,400000;220000;150000,substation,400 kV Kassø
274,220.0,9.43342930362,55.018722918,,,SRID=4326;POINT(9.43342930362242 55.0187229179606),,220000;150000;60000,substation,150 kV Enstedværket
275,220.0,7.43348911422,50.4365195361,,,SRID=4326;POINT(7.43348911422107 50.4365195361077),,220000,substation,
276,380.0,7.59330184857,50.3859437917,,RWE,SRID=4326;POINT(7.59330184856855 50.3859437917469),,380000;110000,substation,Station Koblenz
277,220.0,8.12215702006,53.5658323292,50,,SRID=4326;POINT(8.12215702005755 53.5658323292485),,220000,substation,Atlantic
278,220.0,11.5615074728,52.1238924527,50,50Hertz Transmission,SRID=4326;POINT(11.5615074728142 52.1238924527264),,220000;110000,substation,Magdeburg (50Hertz)
279,380.0,12.8139099117,50.8579185114,50,50Hertz,SRID=4326;POINT(12.8139099116529 50.8579185114397),ROE,380000;220000;110000,substation,Umspannwerk Röhrsdorf
280,380.0,13.3823233829,51.355996158,50,50Hertz,SRID=4326;POINT(13.3823233828996 51.3559961579888),STR,380000;110000,substation,Umspannwerk Streumen
281,380.0,12.0449825162,50.7812567341,,50Hertz,SRID=4326;POINT(12.0449825161601 50.7812567340735),,380000;220000;110000,substation,Umspannwerk Weida
282,380.0,12.5182220968,51.1570725851,50,50Hertz Transmission,SRID=4326;POINT(12.5182220968156 51.1570725850832),,380000;220000;110000,substation,Eula
283,380.0,8.48009523461,50.5909204314,,E.ON Mitte AG,SRID=4326;POINT(8.48009523461158 50.5909204313802),,380000;110000,substation,Umspannwerk Aßlar
284,380.0,8.65659923594,50.6055491256,50,,SRID=4326;POINT(8.65659923594081 50.6055491256016),,380000;110000,substation,Umspannwerk Gießen Nord
285,220.0,8.08162670615,52.8586374845,50,TenneT,SRID=4326;POINT(8.08162670615254 52.858637484526),,220000,substation,Cloppenburg 220 kV
286,220.0,9.56710201162,51.3252573277,50,TenneT,SRID=4326;POINT(9.56710201161841 51.3252573276817),,220000;110000,substation,Sandershausen
287,220.0,7.74679248426,52.2885115081,,,SRID=4326;POINT(7.74679248425685 52.2885115081219),,220000,substation,Kraftwerkschaltanlage Ibbenbüren
288,220.0,7.91072928613,48.5012882982,50,EnBW,SRID=4326;POINT(7.91072928612534 48.5012882982432),,220000;110000,substation,Umspannwerk Weier
289,220.0,7.72570634781,52.2771949017,50,Amprion,SRID=4326;POINT(7.7257063478071 52.2771949017405),,220000;110000,substation,Station Ibbenbüren
290,380.0,14.2192282929,51.1207079922,,50Hertz;ENSO,SRID=4326;POINT(14.2192282929357 51.120707992198),,380000;110000,substation,Umspannwerk Schmölln
291,380.0,14.5700865499,51.4190136844,,Vattenfall Europe,SRID=4326;POINT(14.5700865498873 51.4190136844256),,,generator,Kraftwerk Boxberg
292,380.0,11.6441811001,51.9085128734,50,50Hertz,SRID=4326;POINT(11.6441811001256 51.908512873438),MD 38,220000;110000,substation,Umspannwerk Förderstedt
293,220.0,11.4746908223,50.6040154814,50,,SRID=4326;POINT(11.4746908222742 50.6040154814218),,220000,plant,Pumpspeicherkraftwerk Hohenwarte II
294,380.0,10.9910146333,50.5735269902,50,50Hertz,SRID=4326;POINT(10.9910146333086 50.573526990181),,380000;110000,substation,Umspannwerk Altenfeld
295,220.0,10.5054991208,52.3018379056,,EON_Netz,SRID=4326;POINT(10.5054991208047 52.3018379056382),,220000,substation,Umspannwerk Braunschweig Nord
296,380.0,9.11362795987,52.5457924749,,Statkraft Germany,SRID=4326;POINT(9.11362795987411 52.5457924749284),,,plant,Kraftwerk Robert Frank
297,220.0,10.3692300486,52.1670924339,50,TenneT;EON_Netz,SRID=4326;POINT(10.3692300485918 52.1670924338554),,220000;110000,substation,Salzgitter-Hallendorf
298,220.0,10.4195406346,52.236960662,,TenneT,SRID=4326;POINT(10.4195406346214 52.2369606619834),,220000,substation,Gleidingen 220 kV
299,220.0,10.0876468,52.3151305548,,,SRID=4326;POINT(10.0876467999739 52.3151305547947),,220000;110000,substation,Mehrum (220 kV)
300,220.0,8.40314143641,52.6096440114,50,Amprion,SRID=4326;POINT(8.40314143640892 52.609644011383),,220000;110000,substation,Station Sankt Hülfe
301,380.0,10.2358631058,52.29345954,50,,SRID=4326;POINT(10.2358631058452 52.2934595399896),U4,380000;110000,substation,Klein Ilsede
302,380.0,9.51424009148,51.2590355806,,TenneT,SRID=4326;POINT(9.5142400914841 51.2590355805955),,380000;110000,substation,Umspannwerk Bergshausen
303,380.0,9.38765125749,51.6407335256,,,SRID=4326;POINT(9.38765125748855 51.640733525594),,380000;220000;110000,substation,Umspannanlage Würgassen
304,380.0,9.77415043834,50.5287496465,50,Tennet,SRID=4326;POINT(9.77415043834156 50.5287496465011),,380000;110000,substation,UW Dipperz
305,380.0,9.17745967557,49.0378098505,50;16.7,DB_Energie,SRID=4326;POINT(9.17745967557079 49.037809850476),,380000;110000,substation,Umrichterwerk Neckarwestheim
306,380.0,9.17731110344,49.0393782004,,,SRID=4326;POINT(9.17731110343941 49.039378200434),,380000,substation,Gemeinschaftskraftwerk Neckarwestheim 2
307,380.0,9.15135394991,49.1433834119,,,SRID=4326;POINT(9.15135394990856 49.1433834119236),,380000;220000;110000,substation,380-kV-Umspannwerk Großgartach
308,380.0,10.1878339996,49.9812190408,,,SRID=4326;POINT(10.1878339995516 49.981219040845),GR,380000,substation,Grafenrheinfeld
309,380.0,9.44691867105,49.5902629324,50,EnBW,SRID=4326;POINT(9.44691867105201 49.5902629324336),,380000;110000,substation,Umspannwerk Höpfingen
310,380.0,9.20736443094,49.176637954,,,SRID=4326;POINT(9.20736443093694 49.1766379540065),,,generator,Heizkraftwerk Heilbronn
311,380.0,9.69465635518,49.2325925412,50,EnBW,SRID=4326;POINT(9.69465635518013 49.2325925411591),,380000;110000,substation,Umspannwerk Kupferzell
312,380.0,10.1174866947,48.8971053361,50,EnBW,SRID=4326;POINT(10.1174866946797 48.8971053361382),,380000;220000;110000,substation,Umspannwerk Goldshöfe
313,380.0,12.3374229103,51.1969683571,,50 Hertz Transmission;Stadtwerke Leipzig,SRID=4326;POINT(12.3374229103144 51.1969683571228),,380000;110000,substation,Pulgar
314,380.0,10.8675658805,48.5394690937,,Net,SRID=4326;POINT(10.8675658805484 48.5394690937344),,380000,substation,Station Meitingen
315,380.0,10.8408695619,48.2380310092,50,Lech-Elektrizitätswerke,SRID=4326;POINT(10.8408695619217 48.2380310092335),173A,380000;220000;110000,substation,Umspannwerk Oberottmarshausen
316,380.0,10.9367289314,48.4013064415,50,Lechwerke;Stadtwerke Augsburg,SRID=4326;POINT(10.9367289314287 48.4013064414835),613 U;1000,380000;110000,substation,Umspannwerk Lechhausen; Übernahmestation Lechhausen
317,380.0,10.873935757,47.2444239286,50,Austrian Power Grid AG,SRID=4326;POINT(10.8739357569814 47.2444239286028),,380000;220000;110000,substation,APG Umspannwerk Westtirol
318,380.0,10.8637616199,48.5468231051,,Elektrizitätswerke Augsburg,SRID=4326;POINT(10.8637616199498 48.5468231051405),122 U,380000;110000,substation,Umspannwerk Meitingen
319,380.0,9.70423149899,48.4650637321,50,EnBW,SRID=4326;POINT(9.70423149899321 48.465063732143),,380000;110000,substation,EnBW Umspannwerk Laichingen
320,380.0,9.40063139462,48.6669424397,,,SRID=4326;POINT(9.40063139462492 48.6669424396984),,380000;220000;110000,substation,EnBW Umspannwerk Wendlingen
321,220.0,7.57243731328,48.0188749889,,,SRID=4326;POINT(7.5724373132812 48.0188749889275),,400000,substation,Poste électrique de Vogelgrun
322,380.0,7.75186249821,48.0964057189,50,EnBW,SRID=4326;POINT(7.75186249820802 48.0964057188536),,220000;110000,substation,220-kV-Umspannwerk Eichstetten
323,220.0,12.4772465233,50.7531200813,50,,SRID=4326;POINT(12.4772465232803 50.7531200813148),,220000;110000,substation,Crossen
324,380.0,14.9464972856,51.062586216,50,50Hertz,SRID=4326;POINT(14.9464972856333 51.0625862159619),HGW,380000;110000,substation,Umspannwerk Hagenwerder
325,380.0,15.1149907449,51.0905795559,,PSE Operator,SRID=4326;POINT(15.1149907448572 51.0905795559394),MIK,400000;220000;110000,substation,"Stacja elektroenergetyczna ""Mikułowa"" 400/220/110 kV"
326,380.0,13.8412680841,50.9901759359,50,Vattenfall;ENSO Strom AG;DREWAG,SRID=4326;POINT(13.8412680841242 50.9901759359427),,380000;110000,substation,Umspannwerk DD-Süd
327,380.0,13.2555550237,50.9301782416,50,50Hertz Transmission,SRID=4326;POINT(13.255555023675 50.9301782416399),,380000,substation,Freiberg/Nord (380 kV)
328,220.0,13.0818771202,48.2565212405,,Austrian Power Grid AG,SRID=4326;POINT(13.0818771201792 48.2565212405017),,,substation,Umspannwerk St. Peter
329,220.0,13.0027821071,48.2619682658,,"Tennet, E.on Netz",SRID=4326;POINT(13.0027821071279 48.261968265807),,220000,substation,Umspannwerk Simbach
330,220.0,12.2208353621,48.5857329877,50,"TenneT TSO GmbH, E.ON Netz GmbH",SRID=4326;POINT(12.2208353620671 48.5857329876532),AHM,220000;110000,substation,Umspannwerk Altheim
331,220.0,12.7474442277,48.1487558435,50,"TenneT TSO GmbH, E.ON Netz GmbH",SRID=4326;POINT(12.7474442277007 48.1487558434787),PI,220000;110000,substation,Umspannwerk Pirach
332,380.0,13.1034346393,48.6667929606,50,"TenneT TSO GmbH, E.ON Netz GmbH",SRID=4326;POINT(13.1034346393158 48.6667929606034),PT,380000;220000;110000,substation,Umspannwerk Pleinting
333,380.0,9.19698235872,54.8510986052,50,TenneT,SRID=4326;POINT(9.19698235871826 54.8510986052119),,380000;110000;20000,substation,Umspannwerk Jardelund
334,380.0,11.1937277954,50.1622144406,,,SRID=4326;POINT(11.193727795361 50.1622144406172),RED,380000;110000,substation,Umspannwerk Redwitz
335,380.0,10.8360157548,49.9280673897,,TenneT TSO GmbH,SRID=4326;POINT(10.8360157547717 49.9280673897058),OD,380000,substation,Umspannwerk Oberhaid
336,380.0,11.8107025454,50.1837655261,50,TenneT TSO GmbH;E.ON Netz GmbH,SRID=4326;POINT(11.8107025453557 50.1837655260691),MH,380000;220000;110000,substation,Umspannwerk Mechlenreuth
337,380.0,12.2968837896,48.6069099226,,,SRID=4326;POINT(12.2968837896062 48.6069099225677),IS,380000,substation,Isar
338,380.0,12.0822544457,49.2974477669,50,"TenneT TSO GmbH, E.ON Netz GmbH",SRID=4326;POINT(12.0822544456506 49.2974477669261),SD,380000;220000;110000,substation,Schwandorf
339,220.0,8.95368121281,49.5674431691,50,,SRID=4326;POINT(8.95368121281126 49.5674431691125),,220000;110000,substation,Beerfelden
340,220.0,12.4696440086,51.3716629493,50,50Hertz;enviaM,SRID=4326;POINT(12.4696440085589 51.3716629493371),,220000;110000,substation,Umspannwerk Taucha
341,220.0,12.2488239058,51.1978824278,50,50Hertz Transmission;enviaM,SRID=4326;POINT(12.2488239057592 51.1978824277899),,220000;110000,substation,Großdalzig
342,220.0,10.7346694298,51.440186758,50,50Hertz,SRID=4326;POINT(10.7346694298176 51.4401867580454),WK,220000,substation,Wolkramshausen (220 kV)
343,380.0,11.0049169149,50.5074149691,50,,SRID=4326;POINT(11.0049169149012 50.5074149690608),,380000,substation,Pumpspeicherwerk Goldisthal
344,220.0,13.0025898988,50.8659127197,50,eins-Energie,SRID=4326;POINT(13.0025898987886 50.8659127196838),Nws,220000;110000,substation,Niederwiesa
345,220.0,12.2428369226,50.5674531671,50,50Hertz;enviaM,SRID=4326;POINT(12.2428369226029 50.5674531670625),Her,220000;110000,substation,Umspannwerk Herlasgrün
346,380.0,13.2490283672,52.5316238928,50,50Hertz,SRID=4326;POINT(13.249028367237 52.5316238928337),,380000;110000,substation,Umspannwerk Reuter
347,380.0,13.3155158514,52.5219993683,50,50Hertz,SRID=4326;POINT(13.3155158513838 52.5219993683183),,380000;110000,substation,Umspannwerk Charlottenburg
348,380.0,13.3686584616,52.5031422116,,50Hertz;Stromnetz Berlin,SRID=4326;POINT(13.3686584616208 52.5031422115792),,380000;110000,substation,Berlin/Mitte
349,220.0,11.7924138446,48.8382240227,,TenneT TSO GmbH;E.ON Netz GmbH,SRID=4326;POINT(11.7924138446413 48.8382240226632),SIT,220000;110000,substation,Umspannwerk Sittling
350,220.0,11.3269526752,49.3934731176,50,TenneT TSO GmbH;E.ON Netz GmbH,SRID=4326;POINT(11.3269526751765 49.393473117636),LU,220000;110000,substation,Umspannwerk Ludersheim
351,380.0,11.5077305511,48.7611239877,50,,SRID=4326;POINT(11.5077305510922 48.7611239877457),IN,380000;220000;110000,substation,Ingolstadt
352,220.0,11.8076056361,48.4554267991,,,SRID=4326;POINT(11.8076056361242 48.4554267991033),ZOL,220000;110000,substation,Zolling - Irsching
353,380.0,11.5813705216,48.7648940509,50,,SRID=4326;POINT(11.5813705216127 48.7648940508515),IRS,380000;220000;110000,substation,Irsching
354,380.0,11.6393121108,48.1787834095,50,,SRID=4326;POINT(11.6393121107521 48.1787834095237),,380000;110000,substation,Föhring
355,220.0,6.17791451185,49.9530650802,,SEO,SRID=4326;POINT(6.17791451185192 49.9530650802033),,220000,substation,Vianden
356,220.0,6.21102031527,49.9586257532,50,Amprion,SRID=4326;POINT(6.21102031526762 49.9586257531557),,220000,substation,SA Bauler
357,220.0,6.11451700703,49.9053646588,,,SRID=4326;POINT(6.11451700702834 49.9053646588261),,220000;65000,substation,Flebour
358,220.0,6.08346044961,49.7764406189,,,SRID=4326;POINT(6.08346044961418 49.7764406189112),,220000;65000,substation,Roost
359,380.0,6.2769417852,49.1977400674,,RTE,SRID=4326;POINT(6.27694178519793 49.1977400673896),,400000;225000,substation,Poste électrique de Vigy
360,380.0,6.77320783778,49.2910742104,50,,SRID=4326;POINT(6.77320783777607 49.2910742103854),,380000;220000;110000,substation,Umspannanlage Ensdorf
361,220.0,6.70365235664,49.1385111923,,RTE,SRID=4326;POINT(6.70365235663769 49.1385111923078),,400000;225000;90000,substation,Poste électrique de Saint-Avold
362,380.0,8.04936352422,47.5508818535,50,,SRID=4326;POINT(8.04936352422006 47.550881853478),,380000;220000,substation,Laufenburg
363,220.0,7.50006173414,51.5351740925,50,,SRID=4326;POINT(7.50006173413631 51.535174092458),,220000,substation,Ratsbusch
