name,bus0,bus1,c_nfkm,cables,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm
199,104_220kV,170,5.75,3.0,50.0,1123976.0,0.65,8.837,8837.0,0.5,Amprion,Osterfeld Ost,0.16,,247.683265482,Al/St 240/40 2-bundle 220.0,220000.0,1.0,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.87287359352087 51.4457833372124)",0.64
200,138,87,13.7,3.0,50.0,1128366.0,2.6,13.676,13676.0,1.0,Amprion,Scholven B,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.00674987859998 51.5999114220203,7.06030699176008 51.6964760130648)",0.25
201,171,89,23.0,3.0,50.0,1141433.0,2.6,16.654,16654.0,2.0,Amprion,Meerbusch Ost,0.04,,990.733061929,Al/St 240/40 2-bundle 220.0,220000.0,4.0,"SRID=4326;LINESTRING(6.86804496307922 51.3744747805902,6.72376714521247 51.3556543809247)",0.16
202,119,158,13.7,3.0,50.0,1167325.0,2.6,4.315,4315.0,1.0,Amprion,Hambach 1a,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.48812326381716 50.8810703125704)",0.25
203,105_220kV,172,23.0,3.0,50.0,1167326.0,2.6,19.072,19072.0,2.0,Amprion,Dinslaken West,0.04,,990.733061929,Al/St 240/40 2-bundle 220.0,220000.0,4.0,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.78752251671348 51.505550100013)",0.16
204,123,173,13.7,3.0,50.0,1167329.0,2.6,30.309,30309.0,1.0,Amprion,Knechtsteden West,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.62284323546559 51.258713368098)",0.25
205,119,158,13.7,3.0,50.0,1167330.0,2.6,4.315,4315.0,1.0,Amprion,Hambach 2b,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.48812326381716 50.8810703125704)",0.25
206,105_220kV,174,11.5,3.0,50.0,1167333.0,1.3,20.117,20117.0,1.0,Amprion,Sterkrade Nord,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.81216588075166 51.5196200118095)",0.32
207,37,39,13.7,3.0,50.0,1173397.0,2.6,37.603,37603.0,1.0,50Hertz,489,0.025,489,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.7273534150745 52.5689469938591)",0.25
208,129_220kV,175,11.5,3.0,50.0,1174140.0,1.3,19.857,19857.0,1.0,Amprion,Stratum Ost,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.72031000055597 51.3915325380171)",0.32
209,129_220kV,176,11.5,3.0,50.0,1174142.0,1.3,8.599,8599.0,1.0,Amprion,Fichtenhain West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.54240844257145 51.2994458149911)",0.32
210,88,129_220kV,11.5,3.0,50.0,1174143.0,1.3,9.099,9099.0,1.0,Amprion,Gellep West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.6746753206169 51.3249574728255,6.62582790177014 51.2606098249047)",0.32
211,177,18_220kV,11.5,3.0,50.0,1177425.0,1.3,56.416,56416.0,1.0,50Hertz_Transmission,313,0.08,313,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,13.6834769666546 54.1390906406635)",0.32
212,177,18_220kV,11.5,3.0,50.0,1177426.0,1.3,56.362,56362.0,1.0,50Hertz_Transmission,314,0.08,314,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,13.6834769666546 54.1390906406635)",0.32
213,178,120_220kV,11.5,3.0,50.0,1182294.0,1.3,46.991,46991.0,1.0,Amprion,Heller Ost,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.02029033797883 50.9236168949394,7.86394571365263 50.7682419129404)",0.32
214,179,12_220kV,11.5,3.0,50.0,1188567.0,1.3,86.333,86333.0,1.0,50Hertz_Transmission,303,0.08,303,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(13.9570055475871 53.252171625753,13.7096697058228 52.5397952580643)",0.32
215,180,181,11.5,3.0,50.0,1188568.0,1.3,62.054,62054.0,1.0,50Hertz Transmission,306,0.08,306,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(14.270834670665 53.0962865535819,14.0336963684666 53.5078685980791)",0.32
216,182,180,11.5,3.0,50.0,1188569.0,1.3,26.246,26246.0,1.0,PSE Operator;50Hertz,220kV Krajnik - Vierraden,0.08,507,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(14.4762521006827 53.1967495480613,14.270834670665 53.0962865535819)",0.32
217,179,181,11.5,3.0,50.0,1188570.0,1.3,29.603,29603.0,1.0,50Hertz Transmission,305,0.08,305,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(13.9570055475871 53.252171625753,14.0336963684666 53.5078685980791)",0.32
218,180,12_220kV,11.5,3.0,50.0,1188571.0,1.3,100.983,100983.0,1.0,50Hertz_Transmission,304,0.08,304,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(14.270834670665 53.0962865535819,13.7096697058228 52.5397952580643)",0.32
219,183,30,13.7,3.0,50.0,1188840.0,2.6,28.675,28675.0,1.0,50Hertz Transmission,E,0.025,E,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,9.5017896678173 53.5428143723363)",0.25
220,183,21,27.4,6.0,50.0,1188841.0,5.2,29.674,29674.0,2.0,50Hertz Transmission,C,0.0125,C,3422.53239576,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,10.1575015165126 53.5551316685834)",0.125
221,183,21,13.7,3.0,50.0,1188844.0,2.6,29.628,29628.0,1.0,50Hertz Transmission,D,0.025,D,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,10.1575015165126 53.5551316685834)",0.25
222,183,30,13.7,3.0,50.0,1188848.0,2.6,28.654,28654.0,1.0,50Hertz Transmission,F,0.025,F,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,9.5017896678173 53.5428143723363)",0.25
223,184_220kV,185,5.75,3.0,50.0,1190720.0,0.65,14.09,14090.0,0.5,Amprion,Ürdingen West,0.16,,247.683265482,Al/St 240/40 2-bundle 220.0,220000.0,1.0,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.65673519501182 51.379523634379)",0.64
224,184_220kV,89,11.5,3.0,50.0,1190723.0,1.3,21.946,21946.0,1.0,Amprion,Mündelheim Nord,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.72376714521247 51.3556543809247)",0.32
225,184,186,13.7,3.0,50.0,1208415.0,2.6,9.562,9562.0,1.0,Amprion,Lohheide West,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.7111452744645 51.5261875490663)",0.25
226,184,187,13.7,3.0,50.0,1208417.0,2.6,15.588,15588.0,1.0,Amprion,Zensenbusch Süd,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.68934277038931 51.5764228881728)",0.25
227,137,105_220kV,11.5,3.0,50.0,1208426.0,1.3,41.843,41843.0,1.0,Amprion,Pfalzdorf Nord,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.22183144595687 51.6946456422206,6.68078798893986 51.6462959356851)",0.32
228,104_220kV,172,11.5,3.0,50.0,1224880.0,1.3,10.353,10353.0,1.0,Amprion,Emscher Nord,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.78752251671348 51.505550100013)",0.32
229,104_220kV,172,11.5,3.0,50.0,1224881.0,1.3,10.342,10342.0,1.0,Amprion,Emscher Süd,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.78752251671348 51.505550100013)",0.32
230,89,175,11.5,3.0,50.0,1225767.0,1.3,5.643,5643.0,1.0,Amprion,Rheinhausen West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.72376714521247 51.3556543809247,6.72031000055597 51.3915325380171)",0.32
231,185,89,11.5,3.0,50.0,1225768.0,1.3,8.792,8792.0,1.0,Amprion,Mündelheim Süd,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.65673519501182 51.379523634379,6.72376714521247 51.3556543809247)",0.32
232,89,188,11.5,3.0,50.0,1225769.0,1.3,4.702,4702.0,1.0,Amprion,Huckingen 2b,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.72376714521247 51.3556543809247,6.72365237186396 51.375845810902)",0.32
233,189,190,10.275,3.0,,1460038.0,1.95,37.253,37253.0,0.75,EnBW,ENGST-TRSNG,0.033333,,1283.44964841,Al/St 240/40 4-bundle 380.0,380000.0,3.0,"SRID=4326;LINESTRING(8.61664767275337 48.0659537906797,8.87294280487974 48.3100912582216)",0.333333
234,191_220kV,172,11.5,3.0,50.0,1491474.0,1.3,6.769,6769.0,1.0,Amprion,Walsum Süd,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.78752251671348 51.505550100013)",0.32
235,191_220kV,172,11.5,3.0,50.0,1491477.0,1.3,6.525,6525.0,1.0,Amprion,Walsum Nord,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.78752251671348 51.505550100013)",0.32
236,42_220kV,192,11.5,3.0,50.0,1521278.0,1.3,0.929,929.0,1.0,50Hertz,,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.1857651811846 53.8108597989599)",0.32
237,42_220kV,192,11.5,3.0,50.0,1521279.0,1.3,0.933,933.0,1.0,50Hertz,,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.1857651811846 53.8108597989599)",0.32
238,105,186,13.7,3.0,50.0,1526991.0,2.6,18.907,18907.0,1.0,Amprion,Niederrhein West,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.7111452744645 51.5261875490663)",0.25
239,105,187,13.7,3.0,50.0,1527013.0,2.6,12.541,12541.0,1.0,Amprion,Zensenbusch Nord,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.68934277038931 51.5764228881728)",0.25
240,191_220kV,193,11.5,3.0,50.0,1527967.0,1.3,8.483,8483.0,1.0,Amprion,Beeck Tr212,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.72256980950278 51.4797876727124)",0.32
241,187,194,13.7,3.0,50.0,1527969.0,2.6,0.71,710.0,1.0,Amprion,Voerde B,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.68934277038931 51.5764228881728,6.68306568260248 51.577104777735)",0.25
242,187,194,13.7,3.0,50.0,1527971.0,2.6,0.562,562.0,1.0,Amprion,Voerde A,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.68934277038931 51.5764228881728,6.68306568260248 51.577104777735)",0.25
243,191_220kV,195_220kV,11.5,3.0,50.0,1527975.0,1.3,6.647,6647.0,1.0,Amprion,Möllen Süd,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.68310697663871 51.5756455059265)",0.32
244,191_220kV,196,11.5,3.0,50.0,1527977.0,1.3,5.026,5026.0,1.0,Amprion,Schwelgern Tr22,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.74541676675317 51.4986419480434)",0.32
245,197,195_220kV,11.5,3.0,50.0,1527982.0,1.3,7.165,7165.0,1.0,Amprion,Möllen Nord,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.61427855504049 51.6186788033284,6.68310697663871 51.5756455059265)",0.32
246,110,198,13.7,3.0,50.0,1703680.0,2.6,2.167,2167.0,1.0,Amprion,Westfalen D,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.99288723332679 51.6837077155955,7.9706568937083 51.6768446667846)",0.25
247,197,191_220kV,11.5,3.0,50.0,1527984.0,1.3,13.873,13873.0,1.0,Amprion,Löhnen West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.61427855504049 51.6186788033284,6.71525259691926 51.5267908666491)",0.32
248,199,165_220kV,5.75,3.0,50.0,1547542.0,0.65,27.322,27322.0,0.5,Amprion,Cappenberg Süd,0.16,,247.683265482,Al/St 240/40 2-bundle 220.0,220000.0,1.0,"SRID=4326;LINESTRING(7.44506930371379 51.6185000869374,7.70831848872651 51.6762033088437)",0.64
249,134,123_220kV,11.5,3.0,50.0,1548412.0,1.3,11.754,11754.0,1.0,Amprion,Rommerskirchen Ost,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.80461158012622 50.9662452961379,6.70220337779745 51.0088609096753)",0.32
250,200,193,11.5,3.0,50.0,1578736.0,1.3,2.82,2820.0,1.0,Amprion,Stockum West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.73212495035583 51.4594437365975,6.72256980950278 51.4797876727124)",0.32
251,200,193,11.5,3.0,50.0,1578739.0,1.3,2.82,2820.0,1.0,Amprion,Stockum Ost,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(6.73212495035583 51.4594437365975,6.72256980950278 51.4797876727124)",0.32
252,4,201,6.85,3.0,50.0,1584792.0,1.3,79.19,79190.0,0.5,TenneT,3003 schwarz,0.05,3003,855.633098939,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.25103425143703 53.1144323051271)",0.5
253,4,201,6.85,3.0,50.0,1584793.0,1.3,79.282,79282.0,0.5,TenneT,3003 grün,0.05,3003,855.633098939,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.25103425143703 53.1144323051271)",0.5
254,202,86,13.7,3.0,50.0,1596307.0,2.6,0.772,772.0,1.0,Amprion,Kernkraftwerk Emsland,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.32089257541703 52.4714572265383,7.30820430094578 52.4768353862806)",0.25
255,85,203,13.7,3.0,50.0,1596713.0,2.6,21.968,21968.0,1.0,Amprion,Gronau - Hengelo weiß,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,6.75917485282445 52.2488578798871)",0.25
256,85,203,13.7,3.0,50.0,1596714.0,2.6,21.962,21962.0,1.0,Amprion,Gronau - Hengelo schwarz,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,6.75917485282445 52.2488578798871)",0.25
257,147,204,11.5,3.0,50.0,1605946.0,1.3,22.344,22344.0,1.0,markE,Südleitung,0.08,S,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.70632726933662 51.278583155205)",0.32
258,147,204,11.5,3.0,50.0,1605949.0,1.3,22.347,22347.0,1.0,markE,Nordleitung,0.08,N,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.70632726933662 51.278583155205)",0.32
259,147,205,5.75,3.0,50.0,1606843.0,0.65,4.507,4507.0,0.5,Amprion,Koepchenwerk Maschine 5,0.16,,247.683265482,Al/St 240/40 2-bundle 220.0,220000.0,1.0,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.45034204531003 51.413608212821)",0.64
260,123,206,13.7,3.0,50.0,1610217.0,2.6,6.7,6700.0,1.0,Amprion,Neurath 4d,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.63448162267058 51.0359799381303)",0.25
261,123,206,13.7,3.0,50.0,1610218.0,2.6,6.646,6646.0,1.0,Amprion,Neurath 5e,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.63448162267058 51.0359799381303)",0.25
262,165_220kV,207,11.5,3.0,50.0,1610616.0,1.3,27.915,27915.0,1.0,Amprion,Werse West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.60711612154456 51.8986046029193)",0.32
263,165,208,13.7,3.0,50.0,1610620.0,2.6,23.948,23948.0,1.0,Amprion,Waltrop Süd,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.4035444340631 51.644449487967)",0.25
264,4,94,13.7,3.0,50.0,1630765.0,2.6,79.06,79060.0,1.0,Amprion,Dümmersee Süd 1,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,8.30775689679575 52.3456356447783)",0.25
265,4,2,27.4,6.0,50.0,1630850.0,5.2,1.268,1268.0,2.0,transpower,Robert Frank - Landesbergen,0.0125,,3422.53239576,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",0.125
266,4,2,13.7,3.0,50.0,1630851.0,2.6,1.105,1105.0,1.0,transpower,Leitung 3004,0.025,3004,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",0.25
267,4,2,13.7,3.0,50.0,1630852.0,2.6,0.902,902.0,1.0,transpower,Leitung 3005,0.025,3005,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",0.25
268,209,4,27.4,6.0,50.0,1630911.0,5.2,25.841,25841.0,2.0,TenneT,Leitung 3017,0.0125,3017,3422.53239576,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.93969252741257 52.4030332405173,9.12526570294975 52.5382640870749)",0.125
269,119,163,13.7,3.0,50.0,1632259.0,2.6,20.419,20419.0,1.0,Amprion,Oberzier Süd,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.59601979462215 50.9525274624278)",0.25
270,210,3,13.7,3.0,50.0,1633120.0,2.6,1.82,1820.0,1.0,TenneT,Leitung 3013,0.025,3013,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.40952032742215 52.034316665873,9.38974509624863 52.0263130660355)",0.25
271,99,211,13.7,3.0,,1636702.0,2.6,20.242,20242.0,1.0,Amprion,Bliestal Süd,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,7.23579344536789 49.3693923629482)",0.25
272,99,69,13.7,3.0,50.0,1636703.0,2.6,125.443,125443.0,1.0,Amprion,Bürstadt Ltg,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,8.41937105938048 49.6337356823792)",0.25
273,212,99,13.7,3.0,,1636708.0,2.6,48.829,48829.0,1.0,Amprion,Uchtelfangen Ost,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(6.81368431456473 49.7248340737293,6.99647659179489 49.3754093063084)",0.25
274,213,214,5.75,3.0,50.0,1636720.0,0.65,45.076,45076.0,0.5,Amprion,Rheinau Ost,0.16,,247.683265482,Al/St 240/40 2-bundle 220.0,220000.0,1.0,"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)",0.64
275,69_220kV,215,11.5,3.0,50.0,1636721.0,1.3,13.606,13606.0,1.0,Amprion,Anilin 1A,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)",0.32
276,128,69,13.7,3.0,50.0,1636722.0,2.6,123.721,123721.0,1.0,Amprion,Soonwald West,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,8.41937105938048 49.6337356823792)",0.25
277,128,69,13.7,3.0,50.0,1636723.0,2.6,123.741,123741.0,1.0,Amprion,Soonwald Ost,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,8.41937105938048 49.6337356823792)",0.25
278,69_220kV,215,11.5,3.0,50.0,1636726.0,1.3,13.604,13604.0,1.0,Amprion,Anilin 2B,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)",0.32
279,216,69,13.7,3.0,50.0,1636729.0,2.6,111.236,111236.0,1.0,Amprion,Kugelberg West,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)",0.25
280,216,69,13.7,3.0,50.0,1636730.0,2.6,111.228,111228.0,1.0,Amprion,Kugelberg Ost,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)",0.25
281,213,214,11.5,3.0,50.0,1636737.0,1.3,45.076,45076.0,1.0,Amprion,Rheinau West,0.08,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)",0.32
282,217,98,13.7,3.0,50.0,1636750.0,2.6,7.386,7386.0,1.0,50Hertz,546,0.025,546,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(12.1320699705054 54.14245987564,12.2147735096776 54.1003234403618)",0.25
283,42_220kV,218,11.5,3.0,50.0,1636782.0,1.3,41.565,41565.0,1.0,50Hertz Transmission,275,0.08,275,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.2135605440795 54.1119998545154)",0.32
284,177,42_220kV,11.5,3.0,50.0,1636783.0,1.3,106.704,106704.0,1.0,50Hertz Transmission,276/317,0.08,276;317,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,12.1869848227216 53.8157751724384)",0.32
285,219,209,13.7,3.0,50.0,1636863.0,2.6,45.492,45492.0,1.0,TenneT,,0.025,3018,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)",0.25
286,219,220,13.7,3.0,50.0,1636864.0,2.6,15.054,15054.0,1.0,TenneT,Eickum - Bechterdissen,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.65937290290079 51.9996101318907)",0.25
287,219,220,13.7,3.0,50.0,1636865.0,2.6,15.048,15048.0,1.0,TenneT,Eickum - Bechterdissen,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.65937290290079 51.9996101318907)",0.25
288,219,209,13.7,3.0,50.0,1636866.0,2.6,45.501,45501.0,1.0,TenneT,Overstädt - Eickum,0.025,3018,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)",0.25
289,94,95,13.7,3.0,50.0,1636917.0,2.6,61.846,61846.0,1.0,Amprion,Niedersachsen Nord,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(8.30775689679575 52.3456356447783,7.88957671235007 52.2773967624078)",0.25
290,159,221,6.85,3.0,50.0,1637160.0,1.3,57.405,57405.0,0.5,TenneT,,0.05,304,855.633098939,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(8.05408735442182 53.3323026933898,7.31136229105814 53.1257665563186)",0.5
291,159,221,6.85,3.0,50.0,1637161.0,1.3,57.397,57397.0,0.5,TenneT,,0.05,304,855.633098939,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(8.05408735442182 53.3323026933898,7.31136229105814 53.1257665563186)",0.5
292,34,161,11.5,3.0,50.0,1637162.0,1.3,33.166,33166.0,1.0,TenneT,204 rot,0.08,204,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.05283751634017 53.3338809598955)",0.32
