,VIC,VIC,SA,SA,NSW,NSW
2011-02-23 15:00:00,0.139,0.0,0.443,0.0,0.245,0.0
2011-02-23 16:00:00,0.122,0.0,0.415,0.0,0.231,0.0
2011-02-23 17:00:00,0.112,0.0,0.385,0.0,0.217,0.0
2011-02-23 18:00:00,0.107,0.0,0.347,0.0,0.204,0.0
2011-02-23 19:00:00,0.102,0.0,0.319,0.0,0.193,0.0
2011-02-23 20:00:00,0.097,0.0,0.286,0.0,0.183,0.0
2011-02-23 21:00:00,0.101,0.024,0.27,0.001,0.167,0.035
2011-02-23 22:00:00,0.104,0.169,0.258,0.067,0.103,0.195
2011-02-23 23:00:00,0.076,0.355,0.183,0.239,0.069,0.389
2011-02-24 00:00:00,0.075,0.511,0.154,0.413,0.054,0.539
2011-02-24 01:00:00,0.08,0.628,0.136,0.544,0.037,0.631
2011-02-24 02:00:00,0.077,0.7,0.11,0.635,0.016,0.692
2011-02-24 03:00:00,0.076,0.722,0.082,0.68,0.011,0.704
2011-02-24 04:00:00,0.084,0.698,0.066,0.679,0.012,0.678
2011-02-24 05:00:00,0.096,0.624,0.068,0.637,0.013,0.606
2011-02-24 06:00:00,0.124,0.503,0.087,0.548,0.014,0.487
2011-02-24 07:00:00,0.164,0.318,0.119,0.425,0.015,0.324
2011-02-24 08:00:00,0.203,0.137,0.152,0.252,0.017,0.12
2011-02-24 09:00:00,0.216,0.013,0.203,0.057,0.038,0.003
2011-02-24 10:00:00,0.163,0.0,0.268,0.0,0.057,0.0
2011-02-24 11:00:00,0.151,0.0,0.337,0.0,0.083,0.0
2011-02-24 12:00:00,0.133,0.0,0.372,0.0,0.099,0.0
2011-02-24 13:00:00,0.121,0.0,0.37,0.0,0.106,0.0
2011-02-24 14:00:00,0.116,0.0,0.363,0.0,0.111,0.0
2011-02-24 15:00:00,0.114,0.0,0.35,0.0,0.107,0.0
2011-02-24 16:00:00,0.103,0.0,0.324,0.0,0.1,0.0
2011-02-24 17:00:00,0.09,0.0,0.293,0.0,0.092,0.0
2011-02-24 18:00:00,0.084,0.0,0.266,0.0,0.087,0.0
2011-02-24 19:00:00,0.08,0.0,0.243,0.0,0.08,0.0
2011-02-24 20:00:00,0.079,0.0,0.228,0.0,0.073,0.0
2011-02-24 21:00:00,0.081,0.014,0.219,0.0,0.066,0.03
2011-02-24 22:00:00,0.086,0.123,0.189,0.061,0.034,0.169
2011-02-24 23:00:00,0.065,0.29,0.131,0.221,0.012,0.336
2011-02-25 00:00:00,0.056,0.452,0.117,0.387,0.009,0.474
2011-02-25 01:00:00,0.05,0.58,0.131,0.515,0.006,0.573
2011-02-25 02:00:00,0.049,0.653,0.12,0.605,0.005,0.635
2011-02-25 03:00:00,0.052,0.656,0.081,0.653,0.007,0.639
2011-02-25 04:00:00,0.059,0.61,0.049,0.651,0.01,0.597
2011-02-25 05:00:00,0.068,0.512,0.033,0.613,0.013,0.526
2011-02-25 06:00:00,0.073,0.403,0.032,0.532,0.017,0.398
2011-02-25 07:00:00,0.068,0.241,0.041,0.402,0.024,0.271
2011-02-25 08:00:00,0.065,0.116,0.063,0.236,0.039,0.103
2011-02-25 09:00:00,0.072,0.009,0.102,0.054,0.079,0.002
2011-02-25 10:00:00,0.081,0.0,0.152,0.0,0.136,0.0
2011-02-25 11:00:00,0.076,0.0,0.198,0.0,0.175,0.0
2011-02-25 12:00:00,0.068,0.0,0.22,0.0,0.183,0.0
2011-02-25 13:00:00,0.064,0.0,0.235,0.0,0.174,0.0
2011-02-25 14:00:00,0.059,0.0,0.24,0.0,0.16,0.0
2011-02-25 15:00:00,0.055,0.0,0.24,0.0,0.149,0.0
2011-02-25 16:00:00,0.051,0.0,0.234,0.0,0.136,0.0
2011-02-25 17:00:00,0.045,0.0,0.228,0.0,0.124,0.0
2011-02-25 18:00:00,0.041,0.0,0.216,0.0,0.112,0.0
2011-02-25 19:00:00,0.038,0.0,0.203,0.0,0.1,0.0
2011-02-25 20:00:00,0.037,0.0,0.197,0.0,0.094,0.0
2011-02-25 21:00:00,0.038,0.02,0.192,0.0,0.083,0.028
2011-02-25 22:00:00,0.028,0.156,0.195,0.061,0.047,0.171
2011-02-25 23:00:00,0.015,0.324,0.118,0.225,0.022,0.348
2011-02-26 00:00:00,0.018,0.449,0.111,0.389,0.025,0.503
2011-02-26 01:00:00,0.029,0.534,0.131,0.514,0.03,0.601
2011-02-26 02:00:00,0.037,0.577,0.124,0.606,0.032,0.646
2011-02-26 03:00:00,0.039,0.523,0.097,0.651,0.032,0.642
2011-02-26 04:00:00,0.042,0.447,0.083,0.652,0.037,0.585
2011-02-26 05:00:00,0.05,0.315,0.084,0.608,0.043,0.495
2011-02-26 06:00:00,0.053,0.21,0.096,0.527,0.046,0.379
2011-02-26 07:00:00,0.058,0.147,0.12,0.389,0.046,0.251
2011-02-26 08:00:00,0.058,0.053,0.152,0.229,0.051,0.098
2011-02-26 09:00:00,0.053,0.002,0.19,0.052,0.07,0.002
2011-02-26 10:00:00,0.059,0.0,0.249,0.0,0.09,0.0
2011-02-26 11:00:00,0.065,0.0,0.289,0.0,0.121,0.0
2011-02-26 12:00:00,0.074,0.0,0.311,0.0,0.147,0.0
2011-02-26 13:00:00,0.073,0.0,0.304,0.0,0.164,0.0
2011-02-26 14:00:00,0.074,0.0,0.291,0.0,0.173,0.0
2011-02-26 15:00:00,0.069,0.0,0.278,0.0,0.178,0.0
2011-02-26 16:00:00,0.069,0.0,0.262,0.0,0.182,0.0
2011-02-26 17:00:00,0.077,0.0,0.243,0.0,0.186,0.0
2011-02-26 18:00:00,0.086,0.0,0.229,0.0,0.192,0.0
2011-02-26 19:00:00,0.088,0.0,0.22,0.0,0.194,0.0
2011-02-26 20:00:00,0.099,0.0,0.223,0.0,0.197,0.0
2011-02-26 21:00:00,0.115,0.004,0.225,0.0,0.188,0.023
2011-02-26 22:00:00,0.123,0.043,0.185,0.056,0.138,0.134
2011-02-26 23:00:00,0.111,0.114,0.156,0.211,0.094,0.281
2011-02-27 00:00:00,0.105,0.189,0.154,0.374,0.103,0.382
2011-02-27 01:00:00,0.106,0.267,0.16,0.502,0.113,0.461
2011-02-27 02:00:00,0.106,0.353,0.15,0.598,0.11,0.505
2011-02-27 03:00:00,0.116,0.381,0.137,0.649,0.1,0.528
2011-02-27 04:00:00,0.129,0.396,0.132,0.662,0.086,0.506
2011-02-27 05:00:00,0.129,0.379,0.133,0.618,0.074,0.447
2011-02-27 06:00:00,0.124,0.31,0.145,0.537,0.063,0.341
2011-02-27 07:00:00,0.121,0.222,0.164,0.408,0.055,0.236
2011-02-27 08:00:00,0.125,0.112,0.195,0.242,0.059,0.088
2011-02-27 09:00:00,0.141,0.006,0.248,0.055,0.093,0.001
2011-02-27 10:00:00,0.137,0.0,0.286,0.0,0.129,0.0
2011-02-27 11:00:00,0.149,0.0,0.34,0.0,0.154,0.0
2011-02-27 12:00:00,0.148,0.0,0.361,0.0,0.162,0.0
2011-02-27 13:00:00,0.148,0.0,0.359,0.0,0.168,0.0
2011-02-27 14:00:00,0.152,0.0,0.334,0.0,0.179,0.0
2011-02-27 15:00:00,0.143,0.0,0.306,0.0,0.189,0.0
2011-02-27 16:00:00,0.134,0.0,0.278,0.0,0.194,0.0
2011-02-27 17:00:00,0.122,0.0,0.259,0.0,0.195,0.0
2011-02-27 18:00:00,0.113,0.0,0.245,0.0,0.199,0.0
2011-02-27 19:00:00,0.098,0.0,0.237,0.0,0.2,0.0
2011-02-27 20:00:00,0.089,0.0,0.228,0.0,0.2,0.0
2011-02-27 21:00:00,0.081,0.01,0.213,0.0,0.194,0.025
2011-02-27 22:00:00,0.051,0.096,0.148,0.057,0.135,0.154
2011-02-27 23:00:00,0.038,0.234,0.113,0.214,0.125,0.313
2011-02-28 00:00:00,0.036,0.333,0.093,0.379,0.161,0.444
2011-02-28 01:00:00,0.044,0.406,0.083,0.511,0.204,0.537
2011-02-28 02:00:00,0.058,0.437,0.078,0.601,0.218,0.602
2011-02-28 03:00:00,0.071,0.416,0.088,0.647,0.209,0.595
2011-02-28 04:00:00,0.079,0.407,0.11,0.651,0.203,0.567
2011-02-28 05:00:00,0.081,0.356,0.139,0.611,0.219,0.495
2011-02-28 06:00:00,0.082,0.262,0.173,0.529,0.229,0.374
2011-02-28 07:00:00,0.092,0.157,0.216,0.398,0.215,0.238
2011-02-28 08:00:00,0.104,0.076,0.28,0.234,0.188,0.085
2011-02-28 09:00:00,0.125,0.004,0.361,0.052,0.178,0.001
2011-02-28 10:00:00,0.213,0.0,0.475,0.0,0.232,0.0
2011-02-28 11:00:00,0.216,0.0,0.544,0.0,0.252,0.0
2011-02-28 12:00:00,0.233,0.0,0.578,0.0,0.275,0.0
2011-02-28 13:00:00,0.264,0.0,0.593,0.0,0.301,0.0
2011-02-28 14:00:00,0.319,0.0,0.604,0.0,0.326,0.0
2011-02-28 15:00:00,0.398,0.0,0.613,0.0,0.352,0.0
2011-02-28 16:00:00,0.477,0.0,0.619,0.0,0.371,0.0
2011-02-28 17:00:00,0.546,0.0,0.63,0.0,0.387,0.0
2011-02-28 18:00:00,0.593,0.0,0.648,0.0,0.419,0.0
2011-02-28 19:00:00,0.615,0.0,0.66,0.0,0.46,0.0
2011-02-28 20:00:00,0.62,0.0,0.677,0.0,0.509,0.0
2011-02-28 21:00:00,0.623,0.009,0.683,0.0,0.528,0.025
2011-02-28 22:00:00,0.756,0.113,0.706,0.047,0.544,0.144
2011-02-28 23:00:00,0.829,0.265,0.743,0.179,0.559,0.288
2011-03-01 00:00:00,0.8,0.366,0.723,0.322,0.561,0.413
2011-03-01 01:00:00,0.751,0.454,0.691,0.44,0.551,0.513
2011-03-01 02:00:00,0.719,0.492,0.653,0.534,0.51,0.584
2011-03-01 03:00:00,0.685,0.553,0.621,0.579,0.475,0.584
2011-03-01 04:00:00,0.644,0.54,0.599,0.588,0.448,0.574
2011-03-01 05:00:00,0.61,0.497,0.596,0.552,0.436,0.507
2011-03-01 06:00:00,0.582,0.414,0.603,0.465,0.416,0.39
2011-03-01 07:00:00,0.543,0.278,0.637,0.342,0.413,0.256
2011-03-01 08:00:00,0.506,0.139,0.683,0.195,0.407,0.099
2011-03-01 09:00:00,0.465,0.005,0.715,0.043,0.414,0.001
2011-03-01 10:00:00,0.432,0.0,0.749,0.0,0.445,0.0
2011-03-01 11:00:00,0.417,0.0,0.782,0.0,0.457,0.0
2011-03-01 12:00:00,0.415,0.0,0.795,0.0,0.441,0.0
2011-03-01 13:00:00,0.398,0.0,0.781,0.0,0.425,0.0
2011-03-01 14:00:00,0.38,0.0,0.757,0.0,0.402,0.0
2011-03-01 15:00:00,0.339,0.0,0.723,0.0,0.382,0.0
2011-03-01 16:00:00,0.298,0.0,0.69,0.0,0.371,0.0
2011-03-01 17:00:00,0.262,0.0,0.658,0.0,0.366,0.0
2011-03-01 18:00:00,0.241,0.0,0.631,0.0,0.362,0.0
2011-03-01 19:00:00,0.222,0.0,0.61,0.0,0.351,0.0
2011-03-01 20:00:00,0.204,0.0,0.595,0.0,0.349,0.0
2011-03-01 21:00:00,0.191,0.019,0.574,0.0,0.322,0.022
2011-03-01 22:00:00,0.184,0.167,0.432,0.052,0.247,0.145
2011-03-01 23:00:00,0.191,0.353,0.432,0.188,0.23,0.312
2011-03-02 00:00:00,0.194,0.504,0.388,0.332,0.187,0.449
2011-03-02 01:00:00,0.201,0.575,0.34,0.444,0.141,0.529
2011-03-02 02:00:00,0.223,0.627,0.295,0.509,0.11,0.594
2011-03-02 03:00:00,0.258,0.642,0.27,0.549,0.091,0.604
2011-03-02 04:00:00,0.282,0.608,0.271,0.541,0.08,0.582
2011-03-02 05:00:00,0.306,0.553,0.289,0.495,0.076,0.516
2011-03-02 06:00:00,0.332,0.439,0.325,0.41,0.082,0.403
2011-03-02 07:00:00,0.338,0.295,0.373,0.291,0.098,0.275
2011-03-02 08:00:00,0.342,0.132,0.437,0.162,0.126,0.107
2011-03-02 09:00:00,0.349,0.003,0.483,0.032,0.181,0.001
2011-03-02 10:00:00,0.384,0.0,0.516,0.0,0.245,0.0
2011-03-02 11:00:00,0.393,0.0,0.56,0.0,0.277,0.0
2011-03-02 12:00:00,0.4,0.0,0.584,0.0,0.293,0.0
2011-03-02 13:00:00,0.403,0.0,0.586,0.0,0.285,0.0
2011-03-02 14:00:00,0.411,0.0,0.587,0.0,0.274,0.0
2011-03-02 15:00:00,0.424,0.0,0.581,0.0,0.264,0.0
2011-03-02 16:00:00,0.439,0.0,0.568,0.0,0.253,0.0
2011-03-02 17:00:00,0.448,0.0,0.551,0.0,0.247,0.0
2011-03-02 18:00:00,0.459,0.0,0.543,0.0,0.248,0.0
2011-03-02 19:00:00,0.468,0.0,0.539,0.0,0.254,0.0
2011-03-02 20:00:00,0.481,0.0,0.528,0.0,0.252,0.0
2011-03-02 21:00:00,0.482,0.017,0.523,0.0,0.241,0.022
2011-03-02 22:00:00,0.498,0.143,0.481,0.027,0.194,0.135
2011-03-02 23:00:00,0.582,0.3,0.491,0.099,0.206,0.285
2011-03-03 00:00:00,0.565,0.388,0.493,0.188,0.207,0.404
2011-03-03 01:00:00,0.531,0.446,0.477,0.26,0.194,0.494
2011-03-03 02:00:00,0.496,0.479,0.457,0.323,0.176,0.56
2011-03-03 03:00:00,0.47,0.489,0.439,0.37,0.163,0.554
2011-03-03 04:00:00,0.449,0.474,0.427,0.361,0.159,0.528
2011-03-03 05:00:00,0.437,0.43,0.428,0.345,0.159,0.461
2011-03-03 06:00:00,0.432,0.379,0.44,0.3,0.161,0.357
2011-03-03 07:00:00,0.431,0.257,0.447,0.216,0.163,0.232
2011-03-03 08:00:00,0.432,0.132,0.449,0.117,0.165,0.087
2011-03-03 09:00:00,0.431,0.003,0.443,0.027,0.171,0.0
2011-03-03 10:00:00,0.505,0.0,0.466,0.0,0.191,0.0
2011-03-03 11:00:00,0.521,0.0,0.48,0.0,0.225,0.0
2011-03-03 12:00:00,0.532,0.0,0.494,0.0,0.238,0.0
2011-03-03 13:00:00,0.52,0.0,0.491,0.0,0.233,0.0
2011-03-03 14:00:00,0.501,0.0,0.479,0.0,0.226,0.0
2011-03-03 15:00:00,0.477,0.0,0.465,0.0,0.213,0.0
2011-03-03 16:00:00,0.463,0.0,0.457,0.0,0.206,0.0
2011-03-03 17:00:00,0.458,0.0,0.448,0.0,0.209,0.0
2011-03-03 18:00:00,0.456,0.0,0.454,0.0,0.217,0.0
2011-03-03 19:00:00,0.444,0.0,0.461,0.0,0.225,0.0
2011-03-03 20:00:00,0.431,0.0,0.468,0.0,0.233,0.0
2011-03-03 21:00:00,0.41,0.015,0.463,0.0,0.234,0.019
2011-03-03 22:00:00,0.366,0.143,0.443,0.031,0.192,0.134
2011-03-03 23:00:00,0.403,0.294,0.419,0.121,0.189,0.281
2011-03-04 00:00:00,0.397,0.413,0.423,0.235,0.187,0.408
2011-03-04 01:00:00,0.363,0.449,0.41,0.331,0.16,0.497
2011-03-04 02:00:00,0.34,0.486,0.379,0.406,0.137,0.551
2011-03-04 03:00:00,0.327,0.483,0.368,0.449,0.139,0.558
2011-03-04 04:00:00,0.325,0.446,0.374,0.463,0.159,0.519
2011-03-04 05:00:00,0.328,0.378,0.397,0.431,0.19,0.446
2011-03-04 06:00:00,0.344,0.313,0.428,0.378,0.228,0.35
2011-03-04 07:00:00,0.35,0.215,0.464,0.314,0.272,0.257
2011-03-04 08:00:00,0.337,0.103,0.51,0.181,0.302,0.099
2011-03-04 09:00:00,0.318,0.002,0.532,0.042,0.336,0.0
2011-03-04 10:00:00,0.306,0.0,0.554,0.0,0.382,0.0
2011-03-04 11:00:00,0.307,0.0,0.601,0.0,0.428,0.0
2011-03-04 12:00:00,0.306,0.0,0.629,0.0,0.461,0.0
2011-03-04 13:00:00,0.287,0.0,0.646,0.0,0.476,0.0
2011-03-04 14:00:00,0.268,0.0,0.655,0.0,0.489,0.0
2011-03-04 15:00:00,0.245,0.0,0.652,0.0,0.504,0.0
2011-03-04 16:00:00,0.229,0.0,0.639,0.0,0.514,0.0
2011-03-04 17:00:00,0.23,0.0,0.623,0.0,0.524,0.0
2011-03-04 18:00:00,0.244,0.0,0.613,0.0,0.525,0.0
2011-03-04 19:00:00,0.253,0.0,0.614,0.0,0.521,0.0
2011-03-04 20:00:00,0.27,0.0,0.618,0.0,0.513,0.0
2011-03-04 21:00:00,0.287,0.016,0.624,0.0,0.495,0.02
2011-03-04 22:00:00,0.246,0.162,0.557,0.051,0.362,0.157
2011-03-04 23:00:00,0.293,0.363,0.514,0.201,0.385,0.337
2011-03-05 00:00:00,0.308,0.518,0.533,0.365,0.369,0.486
2011-03-05 01:00:00,0.312,0.628,0.522,0.492,0.329,0.579
2011-03-05 02:00:00,0.323,0.697,0.485,0.584,0.287,0.639
2011-03-05 03:00:00,0.335,0.715,0.453,0.615,0.261,0.648
2011-03-05 04:00:00,0.345,0.705,0.441,0.619,0.244,0.621
2011-03-05 05:00:00,0.352,0.636,0.447,0.57,0.243,0.552
2011-03-05 06:00:00,0.361,0.525,0.469,0.484,0.252,0.437
2011-03-05 07:00:00,0.378,0.371,0.493,0.373,0.282,0.284
2011-03-05 08:00:00,0.385,0.165,0.517,0.224,0.308,0.11
2011-03-05 09:00:00,0.422,0.001,0.522,0.048,0.371,0.0
2011-03-05 10:00:00,0.463,0.0,0.57,0.0,0.445,0.0
2011-03-05 11:00:00,0.49,0.0,0.635,0.0,0.525,0.0
2011-03-05 12:00:00,0.499,0.0,0.676,0.0,0.587,0.0
2011-03-05 13:00:00,0.488,0.0,0.697,0.0,0.615,0.0
2011-03-05 14:00:00,0.483,0.0,0.694,0.0,0.633,0.0
2011-03-05 15:00:00,0.48,0.0,0.687,0.0,0.637,0.0
2011-03-05 16:00:00,0.476,0.0,0.674,0.0,0.63,0.0
2011-03-05 17:00:00,0.476,0.0,0.643,0.0,0.625,0.0
2011-03-05 18:00:00,0.474,0.0,0.615,0.0,0.611,0.0
2011-03-05 19:00:00,0.47,0.0,0.584,0.0,0.599,0.0
2011-03-05 20:00:00,0.479,0.0,0.57,0.0,0.59,0.0
2011-03-05 21:00:00,0.472,0.017,0.556,0.0,0.562,0.027
2011-03-05 22:00:00,0.432,0.173,0.47,0.055,0.446,0.184
2011-03-05 23:00:00,0.373,0.377,0.403,0.216,0.452,0.374
2011-03-06 00:00:00,0.382,0.538,0.414,0.382,0.435,0.525
2011-03-06 01:00:00,0.376,0.652,0.446,0.499,0.395,0.622
2011-03-06 02:00:00,0.357,0.722,0.449,0.579,0.35,0.682
2011-03-06 03:00:00,0.357,0.738,0.418,0.592,0.324,0.693
2011-03-06 04:00:00,0.378,0.716,0.377,0.561,0.315,0.66
2011-03-06 05:00:00,0.402,0.648,0.345,0.496,0.319,0.591
2011-03-06 06:00:00,0.419,0.531,0.337,0.394,0.33,0.472
2011-03-06 07:00:00,0.435,0.366,0.342,0.296,0.346,0.302
2011-03-06 08:00:00,0.458,0.159,0.354,0.16,0.352,0.109
2011-03-06 09:00:00,0.522,0.0,0.368,0.034,0.37,0.0
2011-03-06 10:00:00,0.586,0.0,0.471,0.0,0.469,0.0
2011-03-06 11:00:00,0.655,0.0,0.507,0.0,0.51,0.0
2011-03-06 12:00:00,0.686,0.0,0.537,0.0,0.56,0.0
2011-03-06 13:00:00,0.698,0.0,0.582,0.0,0.596,0.0
2011-03-06 14:00:00,0.687,0.0,0.633,0.0,0.615,0.0
2011-03-06 15:00:00,0.68,0.0,0.675,0.0,0.615,0.0
2011-03-06 16:00:00,0.67,0.0,0.684,0.0,0.594,0.0
2011-03-06 17:00:00,0.645,0.0,0.68,0.0,0.572,0.0
2011-03-06 18:00:00,0.622,0.0,0.644,0.0,0.535,0.0
2011-03-06 19:00:00,0.597,0.0,0.605,0.0,0.504,0.0
2011-03-06 20:00:00,0.597,0.0,0.577,0.0,0.487,0.0
2011-03-06 21:00:00,0.576,0.017,0.559,0.0,0.454,0.028
2011-03-06 22:00:00,0.588,0.165,0.445,0.035,0.348,0.187
2011-03-06 23:00:00,0.482,0.361,0.46,0.144,0.368,0.378
2011-03-07 00:00:00,0.464,0.513,0.481,0.255,0.389,0.528
2011-03-07 01:00:00,0.452,0.625,0.474,0.339,0.363,0.619
2011-03-07 02:00:00,0.434,0.693,0.447,0.403,0.308,0.679
2011-03-07 03:00:00,0.416,0.707,0.427,0.405,0.272,0.687
2011-03-07 04:00:00,0.41,0.689,0.413,0.394,0.255,0.654
2011-03-07 05:00:00,0.417,0.621,0.412,0.356,0.252,0.582
2011-03-07 06:00:00,0.44,0.513,0.416,0.312,0.253,0.466
2011-03-07 07:00:00,0.461,0.353,0.428,0.199,0.255,0.298
2011-03-07 08:00:00,0.48,0.153,0.449,0.118,0.25,0.109
2011-03-07 09:00:00,0.539,0.0,0.46,0.031,0.263,0.0
2011-03-07 10:00:00,0.534,0.0,0.444,0.0,0.323,0.0
2011-03-07 11:00:00,0.586,0.0,0.418,0.0,0.369,0.0
2011-03-07 12:00:00,0.582,0.0,0.371,0.0,0.403,0.0
2011-03-07 13:00:00,0.575,0.0,0.325,0.0,0.447,0.0
2011-03-07 14:00:00,0.578,0.0,0.294,0.0,0.473,0.0
2011-03-07 15:00:00,0.6,0.0,0.275,0.0,0.491,0.0
2011-03-07 16:00:00,0.634,0.0,0.27,0.0,0.482,0.0
2011-03-07 17:00:00,0.647,0.0,0.273,0.0,0.476,0.0
2011-03-07 18:00:00,0.644,0.0,0.275,0.0,0.463,0.0
2011-03-07 19:00:00,0.628,0.0,0.277,0.0,0.454,0.0
2011-03-07 20:00:00,0.596,0.0,0.277,0.0,0.445,0.0
2011-03-07 21:00:00,0.562,0.011,0.279,0.0,0.424,0.025
2011-03-07 22:00:00,0.542,0.089,0.224,0.014,0.294,0.156
2011-03-07 23:00:00,0.483,0.188,0.222,0.07,0.301,0.32
2011-03-08 00:00:00,0.436,0.267,0.214,0.144,0.346,0.456
2011-03-08 01:00:00,0.402,0.329,0.206,0.21,0.334,0.529
2011-03-08 02:00:00,0.371,0.342,0.212,0.271,0.298,0.556
2011-03-08 03:00:00,0.351,0.378,0.219,0.308,0.262,0.536
2011-03-08 04:00:00,0.34,0.32,0.228,0.294,0.244,0.489
2011-03-08 05:00:00,0.328,0.283,0.242,0.29,0.239,0.406
2011-03-08 06:00:00,0.308,0.193,0.261,0.243,0.237,0.288
2011-03-08 07:00:00,0.284,0.142,0.279,0.19,0.233,0.171
2011-03-08 08:00:00,0.268,0.066,0.291,0.118,0.232,0.052
2011-03-08 09:00:00,0.25,0.0,0.297,0.035,0.243,0.0
2011-03-08 10:00:00,0.228,0.0,0.258,0.0,0.271,0.0
2011-03-08 11:00:00,0.184,0.0,0.278,0.0,0.273,0.0
2011-03-08 12:00:00,0.151,0.0,0.276,0.0,0.277,0.0
2011-03-08 13:00:00,0.13,0.0,0.264,0.0,0.284,0.0
2011-03-08 14:00:00,0.114,0.0,0.248,0.0,0.295,0.0
2011-03-08 15:00:00,0.105,0.0,0.234,0.0,0.31,0.0
2011-03-08 16:00:00,0.093,0.0,0.222,0.0,0.315,0.0
2011-03-08 17:00:00,0.084,0.0,0.218,0.0,0.308,0.0
2011-03-08 18:00:00,0.074,0.0,0.208,0.0,0.292,0.0
2011-03-08 19:00:00,0.068,0.0,0.199,0.0,0.28,0.0
2011-03-08 20:00:00,0.069,0.0,0.196,0.0,0.278,0.0
2011-03-08 21:00:00,0.074,0.008,0.197,0.0,0.273,0.011
2011-03-08 22:00:00,0.074,0.07,0.178,0.018,0.252,0.072
2011-03-08 23:00:00,0.082,0.146,0.17,0.109,0.235,0.15
2011-03-09 00:00:00,0.084,0.209,0.177,0.213,0.233,0.22
2011-03-09 01:00:00,0.085,0.246,0.176,0.289,0.227,0.273
2011-03-09 02:00:00,0.088,0.26,0.179,0.358,0.204,0.312
2011-03-09 03:00:00,0.099,0.244,0.19,0.405,0.178,0.316
2011-03-09 04:00:00,0.121,0.223,0.213,0.433,0.153,0.304
2011-03-09 05:00:00,0.137,0.172,0.246,0.426,0.135,0.238
2011-03-09 06:00:00,0.145,0.105,0.295,0.392,0.127,0.18
2011-03-09 07:00:00,0.152,0.072,0.34,0.315,0.122,0.11
2011-03-09 08:00:00,0.152,0.026,0.384,0.196,0.126,0.03
2011-03-09 09:00:00,0.156,0.0,0.413,0.048,0.141,0.0
2011-03-09 10:00:00,0.154,0.0,0.45,0.0,0.186,0.0
2011-03-09 11:00:00,0.156,0.0,0.481,0.0,0.185,0.0
2011-03-09 12:00:00,0.166,0.0,0.484,0.0,0.186,0.0
2011-03-09 13:00:00,0.177,0.0,0.474,0.0,0.184,0.0
2011-03-09 14:00:00,0.197,0.0,0.452,0.0,0.181,0.0
2011-03-09 15:00:00,0.217,0.0,0.427,0.0,0.185,0.0
2011-03-09 16:00:00,0.238,0.0,0.402,0.0,0.185,0.0
2011-03-09 17:00:00,0.25,0.0,0.379,0.0,0.187,0.0
2011-03-09 18:00:00,0.249,0.0,0.359,0.0,0.186,0.0
2011-03-09 19:00:00,0.245,0.0,0.347,0.0,0.187,0.0
2011-03-09 20:00:00,0.24,0.0,0.347,0.0,0.188,0.0
2011-03-09 21:00:00,0.228,0.001,0.342,0.0,0.185,0.012
2011-03-09 22:00:00,0.271,0.03,0.325,0.035,0.186,0.065
2011-03-09 23:00:00,0.253,0.085,0.325,0.163,0.173,0.133
2011-03-10 00:00:00,0.222,0.177,0.311,0.313,0.154,0.212
2011-03-10 01:00:00,0.192,0.239,0.284,0.428,0.137,0.244
2011-03-10 02:00:00,0.175,0.299,0.246,0.512,0.121,0.271
2011-03-10 03:00:00,0.171,0.306,0.224,0.563,0.113,0.257
2011-03-10 04:00:00,0.181,0.31,0.219,0.584,0.106,0.249
2011-03-10 05:00:00,0.191,0.269,0.229,0.555,0.105,0.214
2011-03-10 06:00:00,0.198,0.208,0.255,0.474,0.107,0.156
2011-03-10 07:00:00,0.201,0.134,0.295,0.353,0.113,0.104
2011-03-10 08:00:00,0.2,0.065,0.341,0.217,0.119,0.035
2011-03-10 09:00:00,0.194,0.0,0.387,0.05,0.127,0.0
2011-03-10 10:00:00,0.19,0.0,0.435,0.0,0.12,0.0
2011-03-10 11:00:00,0.207,0.0,0.479,0.0,0.127,0.0
2011-03-10 12:00:00,0.224,0.0,0.486,0.0,0.13,0.0
2011-03-10 13:00:00,0.224,0.0,0.466,0.0,0.128,0.0
2011-03-10 14:00:00,0.233,0.0,0.429,0.0,0.125,0.0
2011-03-10 15:00:00,0.236,0.0,0.392,0.0,0.124,0.0
2011-03-10 16:00:00,0.242,0.0,0.35,0.0,0.127,0.0
2011-03-10 17:00:00,0.247,0.0,0.309,0.0,0.127,0.0
2011-03-10 18:00:00,0.26,0.0,0.27,0.0,0.128,0.0
2011-03-10 19:00:00,0.268,0.0,0.244,0.0,0.125,0.0
2011-03-10 20:00:00,0.263,0.0,0.225,0.0,0.124,0.0
2011-03-10 21:00:00,0.257,0.005,0.215,0.0,0.119,0.011
2011-03-10 22:00:00,0.245,0.096,0.171,0.043,0.088,0.086
2011-03-10 23:00:00,0.235,0.235,0.132,0.197,0.077,0.195
2011-03-11 00:00:00,0.23,0.374,0.123,0.369,0.067,0.297
2011-03-11 01:00:00,0.221,0.484,0.107,0.51,0.057,0.377
2011-03-11 02:00:00,0.218,0.519,0.087,0.59,0.044,0.449
2011-03-11 03:00:00,0.212,0.518,0.073,0.611,0.035,0.437
2011-03-11 04:00:00,0.206,0.464,0.066,0.58,0.032,0.416
2011-03-11 05:00:00,0.202,0.39,0.068,0.517,0.033,0.363
2011-03-11 06:00:00,0.205,0.306,0.077,0.44,0.033,0.277
2011-03-11 07:00:00,0.211,0.195,0.094,0.341,0.034,0.195
