name,bus0,bus1,type,s_nom,length,num_parallel,wkt_srid_4326,voltage,from_relation,r_ohmkm,ref,cables,x_ohmkm,wires,osm_name,operator,c_nfkm,frequency,length_m,i_th_max_a
196,104_220kV,169,Al/St 240/40 2-bundle 220.0,495.366530965,3.427,1.0,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.96734393053748 51.4908618864265)",220000.0,1109619.0,0.08,,3.0,0.32,2.0,LMG Ost,Amprion,11.5,50.0,3427.0,1.3
197,168,105,Al/St 240/40 4-bundle 380.0,1711.26619788,42.401,1.0,"SRID=4326;LINESTRING(6.90660779028721 51.5652424465435,6.68078798893986 51.6462959356851)",380000.0,1116357.0,0.025,,3.0,0.25,4.0,Lippe Süd,Amprion,13.7,50.0,42401.0,2.6
198,104_220kV,170,Al/St 240/40 2-bundle 220.0,495.366530965,8.909,1.0,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.87287359352087 51.4457833372124)",220000.0,1123975.0,0.08,,3.0,0.32,2.0,Osterfeld West,Amprion,11.5,50.0,8909.0,1.3
199,104_220kV,170,Al/St 240/40 2-bundle 220.0,247.683265482,8.837,0.5,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.87287359352087 51.4457833372124)",220000.0,1123976.0,0.16,,3.0,0.64,1.0,Osterfeld Ost,Amprion,5.75,50.0,8837.0,0.65
200,138,87,Al/St 240/40 4-bundle 380.0,1711.26619788,13.676,1.0,"SRID=4326;LINESTRING(7.00674987859998 51.5999114220203,7.06030699176008 51.6964760130648)",380000.0,1128366.0,0.025,,3.0,0.25,4.0,Scholven B,Amprion,13.7,50.0,13676.0,2.6
201,171,89,Al/St 240/40 2-bundle 220.0,990.733061929,16.654,2.0,"SRID=4326;LINESTRING(6.86804496307922 51.3744747805902,6.72376714521247 51.3556543809247)",220000.0,1141433.0,0.04,,3.0,0.16,4.0,Meerbusch Ost,Amprion,23.0,50.0,16654.0,2.6
202,119,158,Al/St 240/40 4-bundle 380.0,1711.26619788,4.315,1.0,"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.48812326381716 50.8810703125704)",380000.0,1167325.0,0.025,,3.0,0.25,4.0,Hambach 1a,Amprion,13.7,50.0,4315.0,2.6
203,105_220kV,172,Al/St 240/40 2-bundle 220.0,990.733061929,19.072,2.0,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.78752251671348 51.505550100013)",220000.0,1167326.0,0.04,,3.0,0.16,4.0,Dinslaken West,Amprion,23.0,50.0,19072.0,2.6
204,123,173,Al/St 240/40 4-bundle 380.0,1711.26619788,30.309,1.0,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.62284323546559 51.258713368098)",380000.0,1167329.0,0.025,,3.0,0.25,4.0,Knechtsteden West,Amprion,13.7,50.0,30309.0,2.6
205,119,158,Al/St 240/40 4-bundle 380.0,1711.26619788,4.315,1.0,"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.48812326381716 50.8810703125704)",380000.0,1167330.0,0.025,,3.0,0.25,4.0,Hambach 2b,Amprion,13.7,50.0,4315.0,2.6
206,105_220kV,174,Al/St 240/40 2-bundle 220.0,495.366530965,20.117,1.0,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.81216588075166 51.5196200118095)",220000.0,1167333.0,0.08,,3.0,0.32,2.0,Sterkrade Nord,Amprion,11.5,50.0,20117.0,1.3
207,37,39,Al/St 240/40 4-bundle 380.0,1711.26619788,37.603,1.0,"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.7273534150745 52.5689469938591)",380000.0,1173397.0,0.025,489,3.0,0.25,4.0,489,50Hertz,13.7,50.0,37603.0,2.6
208,129_220kV,175,Al/St 240/40 2-bundle 220.0,495.366530965,19.857,1.0,"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.72031000055597 51.3915325380171)",220000.0,1174140.0,0.08,,3.0,0.32,2.0,Stratum Ost,Amprion,11.5,50.0,19857.0,1.3
209,129_220kV,176,Al/St 240/40 2-bundle 220.0,495.366530965,8.599,1.0,"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.54240844257145 51.2994458149911)",220000.0,1174142.0,0.08,,3.0,0.32,2.0,Fichtenhain West,Amprion,11.5,50.0,8599.0,1.3
210,88,129_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,9.099,1.0,"SRID=4326;LINESTRING(6.6746753206169 51.3249574728255,6.62582790177014 51.2606098249047)",220000.0,1174143.0,0.08,,3.0,0.32,2.0,Gellep West,Amprion,11.5,50.0,9099.0,1.3
211,177,18_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,56.416,1.0,"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,13.6834769666546 54.1390906406635)",220000.0,1177425.0,0.08,313,3.0,0.32,2.0,313,50Hertz_Transmission,11.5,50.0,56416.0,1.3
212,177,18_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,56.362,1.0,"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,13.6834769666546 54.1390906406635)",220000.0,1177426.0,0.08,314,3.0,0.32,2.0,314,50Hertz_Transmission,11.5,50.0,56362.0,1.3
213,178,120_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,46.991,1.0,"SRID=4326;LINESTRING(8.02029033797883 50.9236168949394,7.86394571365263 50.7682419129404)",220000.0,1182294.0,0.08,,3.0,0.32,2.0,Heller Ost,Amprion,11.5,50.0,46991.0,1.3
214,179,12_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,86.333,1.0,"SRID=4326;LINESTRING(13.9570055475871 53.252171625753,13.7096697058228 52.5397952580643)",220000.0,1188567.0,0.08,303,3.0,0.32,2.0,303,50Hertz_Transmission,11.5,50.0,86333.0,1.3
215,180,181,Al/St 240/40 2-bundle 220.0,495.366530965,62.054,1.0,"SRID=4326;LINESTRING(14.270834670665 53.0962865535819,14.0336963684666 53.5078685980791)",220000.0,1188568.0,0.08,306,3.0,0.32,2.0,306,50Hertz Transmission,11.5,50.0,62054.0,1.3
216,182,180,Al/St 240/40 2-bundle 220.0,495.366530965,26.246,1.0,"SRID=4326;LINESTRING(14.4762521006827 53.1967495480613,14.270834670665 53.0962865535819)",220000.0,1188569.0,0.08,507,3.0,0.32,2.0,220kV Krajnik - Vierraden,PSE Operator;50Hertz,11.5,50.0,26246.0,1.3
217,179,181,Al/St 240/40 2-bundle 220.0,495.366530965,29.603,1.0,"SRID=4326;LINESTRING(13.9570055475871 53.252171625753,14.0336963684666 53.5078685980791)",220000.0,1188570.0,0.08,305,3.0,0.32,2.0,305,50Hertz Transmission,11.5,50.0,29603.0,1.3
218,180,12_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,100.983,1.0,"SRID=4326;LINESTRING(14.270834670665 53.0962865535819,13.7096697058228 52.5397952580643)",220000.0,1188571.0,0.08,304,3.0,0.32,2.0,304,50Hertz_Transmission,11.5,50.0,100983.0,1.3
219,183,30,Al/St 240/40 4-bundle 380.0,1711.26619788,28.675,1.0,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,9.5017896678173 53.5428143723363)",380000.0,1188840.0,0.025,E,3.0,0.25,4.0,E,50Hertz Transmission,13.7,50.0,28675.0,2.6
220,183,21,Al/St 240/40 4-bundle 380.0,3422.53239576,29.674,2.0,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,10.1575015165126 53.5551316685834)",380000.0,1188841.0,0.0125,C,6.0,0.125,4.0,C,50Hertz Transmission,27.4,50.0,29674.0,5.2
221,183,21,Al/St 240/40 4-bundle 380.0,1711.26619788,29.628,1.0,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,10.1575015165126 53.5551316685834)",380000.0,1188844.0,0.025,D,3.0,0.25,4.0,D,50Hertz Transmission,13.7,50.0,29628.0,2.6
222,183,30,Al/St 240/40 4-bundle 380.0,1711.26619788,28.654,1.0,"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,9.5017896678173 53.5428143723363)",380000.0,1188848.0,0.025,F,3.0,0.25,4.0,F,50Hertz Transmission,13.7,50.0,28654.0,2.6
223,184_220kV,185,Al/St 240/40 2-bundle 220.0,247.683265482,14.09,0.5,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.65673519501182 51.379523634379)",220000.0,1190720.0,0.16,,3.0,0.64,1.0,Ürdingen West,Amprion,5.75,50.0,14090.0,0.65
224,184_220kV,89,Al/St 240/40 2-bundle 220.0,495.366530965,21.946,1.0,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.72376714521247 51.3556543809247)",220000.0,1190723.0,0.08,,3.0,0.32,2.0,Mündelheim Nord,Amprion,11.5,50.0,21946.0,1.3
225,184,186,Al/St 240/40 4-bundle 380.0,1711.26619788,9.562,1.0,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.7111452744645 51.5261875490663)",380000.0,1208415.0,0.025,,3.0,0.25,4.0,Lohheide West,Amprion,13.7,50.0,9562.0,2.6
226,184,187,Al/St 240/40 4-bundle 380.0,1711.26619788,15.588,1.0,"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.68934277038931 51.5764228881728)",380000.0,1208417.0,0.025,,3.0,0.25,4.0,Zensenbusch Süd,Amprion,13.7,50.0,15588.0,2.6
227,137,105_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,41.843,1.0,"SRID=4326;LINESTRING(6.22183144595687 51.6946456422206,6.68078798893986 51.6462959356851)",220000.0,1208426.0,0.08,,3.0,0.32,2.0,Pfalzdorf Nord,Amprion,11.5,50.0,41843.0,1.3
228,104_220kV,172,Al/St 240/40 2-bundle 220.0,495.366530965,10.353,1.0,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.78752251671348 51.505550100013)",220000.0,1224880.0,0.08,,3.0,0.32,2.0,Emscher Nord,Amprion,11.5,50.0,10353.0,1.3
229,104_220kV,172,Al/St 240/40 2-bundle 220.0,495.366530965,10.342,1.0,"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.78752251671348 51.505550100013)",220000.0,1224881.0,0.08,,3.0,0.32,2.0,Emscher Süd,Amprion,11.5,50.0,10342.0,1.3
230,89,175,Al/St 240/40 2-bundle 220.0,495.366530965,5.643,1.0,"SRID=4326;LINESTRING(6.72376714521247 51.3556543809247,6.72031000055597 51.3915325380171)",220000.0,1225767.0,0.08,,3.0,0.32,2.0,Rheinhausen West,Amprion,11.5,50.0,5643.0,1.3
231,185,89,Al/St 240/40 2-bundle 220.0,495.366530965,8.792,1.0,"SRID=4326;LINESTRING(6.65673519501182 51.379523634379,6.72376714521247 51.3556543809247)",220000.0,1225768.0,0.08,,3.0,0.32,2.0,Mündelheim Süd,Amprion,11.5,50.0,8792.0,1.3
232,89,188,Al/St 240/40 2-bundle 220.0,495.366530965,4.702,1.0,"SRID=4326;LINESTRING(6.72376714521247 51.3556543809247,6.72365237186396 51.375845810902)",220000.0,1225769.0,0.08,,3.0,0.32,2.0,Huckingen 2b,Amprion,11.5,50.0,4702.0,1.3
233,189,190,Al/St 240/40 4-bundle 380.0,1283.44964841,37.253,0.75,"SRID=4326;LINESTRING(8.61664767275337 48.0659537906797,8.87294280487974 48.3100912582216)",380000.0,1460038.0,0.033333,,3.0,0.333333,3.0,ENGST-TRSNG,EnBW,10.275,,37253.0,1.95
234,191_220kV,172,Al/St 240/40 2-bundle 220.0,495.366530965,6.769,1.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.78752251671348 51.505550100013)",220000.0,1491474.0,0.08,,3.0,0.32,2.0,Walsum Süd,Amprion,11.5,50.0,6769.0,1.3
235,191_220kV,172,Al/St 240/40 2-bundle 220.0,495.366530965,6.525,1.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.78752251671348 51.505550100013)",220000.0,1491477.0,0.08,,3.0,0.32,2.0,Walsum Nord,Amprion,11.5,50.0,6525.0,1.3
236,42_220kV,192,Al/St 240/40 2-bundle 220.0,495.366530965,0.929,1.0,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.1857651811846 53.8108597989599)",220000.0,1521278.0,0.08,,3.0,0.32,2.0,,50Hertz,11.5,50.0,929.0,1.3
237,42_220kV,192,Al/St 240/40 2-bundle 220.0,495.366530965,0.933,1.0,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.1857651811846 53.8108597989599)",220000.0,1521279.0,0.08,,3.0,0.32,2.0,,50Hertz,11.5,50.0,933.0,1.3
238,105,186,Al/St 240/40 4-bundle 380.0,1711.26619788,18.907,1.0,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.7111452744645 51.5261875490663)",380000.0,1526991.0,0.025,,3.0,0.25,4.0,Niederrhein West,Amprion,13.7,50.0,18907.0,2.6
239,105,187,Al/St 240/40 4-bundle 380.0,1711.26619788,12.541,1.0,"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.68934277038931 51.5764228881728)",380000.0,1527013.0,0.025,,3.0,0.25,4.0,Zensenbusch Nord,Amprion,13.7,50.0,12541.0,2.6
240,191_220kV,193,Al/St 240/40 2-bundle 220.0,495.366530965,8.483,1.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.72256980950278 51.4797876727124)",220000.0,1527967.0,0.08,,3.0,0.32,2.0,Beeck Tr212,Amprion,11.5,50.0,8483.0,1.3
241,187,194,Al/St 240/40 4-bundle 380.0,1711.26619788,0.71,1.0,"SRID=4326;LINESTRING(6.68934277038931 51.5764228881728,6.68306568260248 51.577104777735)",380000.0,1527969.0,0.025,,3.0,0.25,4.0,Voerde B,Amprion,13.7,50.0,710.0,2.6
242,187,194,Al/St 240/40 4-bundle 380.0,1711.26619788,0.562,1.0,"SRID=4326;LINESTRING(6.68934277038931 51.5764228881728,6.68306568260248 51.577104777735)",380000.0,1527971.0,0.025,,3.0,0.25,4.0,Voerde A,Amprion,13.7,50.0,562.0,2.6
243,191_220kV,195_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,6.647,1.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.68310697663871 51.5756455059265)",220000.0,1527975.0,0.08,,3.0,0.32,2.0,Möllen Süd,Amprion,11.5,50.0,6647.0,1.3
244,191_220kV,196,Al/St 240/40 2-bundle 220.0,495.366530965,5.026,1.0,"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.74541676675317 51.4986419480434)",220000.0,1527977.0,0.08,,3.0,0.32,2.0,Schwelgern Tr22,Amprion,11.5,50.0,5026.0,1.3
245,197,195_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,7.165,1.0,"SRID=4326;LINESTRING(6.61427855504049 51.6186788033284,6.68310697663871 51.5756455059265)",220000.0,1527982.0,0.08,,3.0,0.32,2.0,Möllen Nord,Amprion,11.5,50.0,7165.0,1.3
246,110,198,Al/St 240/40 4-bundle 380.0,1711.26619788,2.167,1.0,"SRID=4326;LINESTRING(7.99288723332679 51.6837077155955,7.9706568937083 51.6768446667846)",380000.0,1703680.0,0.025,,3.0,0.25,4.0,Westfalen D,Amprion,13.7,50.0,2167.0,2.6
247,197,191_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,13.873,1.0,"SRID=4326;LINESTRING(6.61427855504049 51.6186788033284,6.71525259691926 51.5267908666491)",220000.0,1527984.0,0.08,,3.0,0.32,2.0,Löhnen West,Amprion,11.5,50.0,13873.0,1.3
248,199,165_220kV,Al/St 240/40 2-bundle 220.0,247.683265482,27.322,0.5,"SRID=4326;LINESTRING(7.44506930371379 51.6185000869374,7.70831848872651 51.6762033088437)",220000.0,1547542.0,0.16,,3.0,0.64,1.0,Cappenberg Süd,Amprion,5.75,50.0,27322.0,0.65
249,134,123_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,11.754,1.0,"SRID=4326;LINESTRING(6.80461158012622 50.9662452961379,6.70220337779745 51.0088609096753)",220000.0,1548412.0,0.08,,3.0,0.32,2.0,Rommerskirchen Ost,Amprion,11.5,50.0,11754.0,1.3
250,200,193,Al/St 240/40 2-bundle 220.0,495.366530965,2.82,1.0,"SRID=4326;LINESTRING(6.73212495035583 51.4594437365975,6.72256980950278 51.4797876727124)",220000.0,1578736.0,0.08,,3.0,0.32,2.0,Stockum West,Amprion,11.5,50.0,2820.0,1.3
251,200,193,Al/St 240/40 2-bundle 220.0,495.366530965,2.82,1.0,"SRID=4326;LINESTRING(6.73212495035583 51.4594437365975,6.72256980950278 51.4797876727124)",220000.0,1578739.0,0.08,,3.0,0.32,2.0,Stockum Ost,Amprion,11.5,50.0,2820.0,1.3
252,4,201,Al/St 240/40 4-bundle 380.0,855.633098939,79.19,0.5,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.25103425143703 53.1144323051271)",380000.0,1584792.0,0.05,3003,3.0,0.5,2.0,3003 schwarz,TenneT,6.85,50.0,79190.0,1.3
253,4,201,Al/St 240/40 4-bundle 380.0,855.633098939,79.282,0.5,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.25103425143703 53.1144323051271)",380000.0,1584793.0,0.05,3003,3.0,0.5,2.0,3003 grün,TenneT,6.85,50.0,79282.0,1.3
254,202,86,Al/St 240/40 4-bundle 380.0,1711.26619788,0.772,1.0,"SRID=4326;LINESTRING(7.32089257541703 52.4714572265383,7.30820430094578 52.4768353862806)",380000.0,1596307.0,0.025,,3.0,0.25,4.0,Kernkraftwerk Emsland,Amprion,13.7,50.0,772.0,2.6
255,85,203,Al/St 240/40 4-bundle 380.0,1711.26619788,21.968,1.0,"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,6.75917485282445 52.2488578798871)",380000.0,1596713.0,0.025,,3.0,0.25,4.0,Gronau - Hengelo weiß,Amprion,13.7,50.0,21968.0,2.6
256,85,203,Al/St 240/40 4-bundle 380.0,1711.26619788,21.962,1.0,"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,6.75917485282445 52.2488578798871)",380000.0,1596714.0,0.025,,3.0,0.25,4.0,Gronau - Hengelo schwarz,Amprion,13.7,50.0,21962.0,2.6
257,147,204,Al/St 240/40 2-bundle 220.0,495.366530965,22.344,1.0,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.70632726933662 51.278583155205)",220000.0,1605946.0,0.08,S,3.0,0.32,2.0,Südleitung,markE,11.5,50.0,22344.0,1.3
258,147,204,Al/St 240/40 2-bundle 220.0,495.366530965,22.347,1.0,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.70632726933662 51.278583155205)",220000.0,1605949.0,0.08,N,3.0,0.32,2.0,Nordleitung,markE,11.5,50.0,22347.0,1.3
259,147,205,Al/St 240/40 2-bundle 220.0,247.683265482,4.507,0.5,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.45034204531003 51.413608212821)",220000.0,1606843.0,0.16,,3.0,0.64,1.0,Koepchenwerk Maschine 5,Amprion,5.75,50.0,4507.0,0.65
260,123,206,Al/St 240/40 4-bundle 380.0,1711.26619788,6.7,1.0,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.63448162267058 51.0359799381303)",380000.0,1610217.0,0.025,,3.0,0.25,4.0,Neurath 4d,Amprion,13.7,50.0,6700.0,2.6
261,123,206,Al/St 240/40 4-bundle 380.0,1711.26619788,6.646,1.0,"SRID=4326;LINESTRING(6.70220337779745 51.0088609096753,6.63448162267058 51.0359799381303)",380000.0,1610218.0,0.025,,3.0,0.25,4.0,Neurath 5e,Amprion,13.7,50.0,6646.0,2.6
262,165_220kV,207,Al/St 240/40 2-bundle 220.0,495.366530965,27.915,1.0,"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.60711612154456 51.8986046029193)",220000.0,1610616.0,0.08,,3.0,0.32,2.0,Werse West,Amprion,11.5,50.0,27915.0,1.3
263,165,208,Al/St 240/40 4-bundle 380.0,1711.26619788,23.948,1.0,"SRID=4326;LINESTRING(7.70831848872651 51.6762033088437,7.4035444340631 51.644449487967)",380000.0,1610620.0,0.025,,3.0,0.25,4.0,Waltrop Süd,Amprion,13.7,50.0,23948.0,2.6
264,4,94,Al/St 240/40 4-bundle 380.0,1711.26619788,79.06,1.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,8.30775689679575 52.3456356447783)",380000.0,1630765.0,0.025,,3.0,0.25,4.0,Dümmersee Süd 1,Amprion,13.7,50.0,79060.0,2.6
265,4,2,Al/St 240/40 4-bundle 380.0,3422.53239576,1.268,2.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",380000.0,1630850.0,0.0125,,6.0,0.125,4.0,Robert Frank - Landesbergen,transpower,27.4,50.0,1268.0,5.2
266,4,2,Al/St 240/40 4-bundle 380.0,1711.26619788,1.105,1.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",380000.0,1630851.0,0.025,3004,3.0,0.25,4.0,Leitung 3004,transpower,13.7,50.0,1105.0,2.6
267,4,2,Al/St 240/40 4-bundle 380.0,1711.26619788,0.902,1.0,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11321007472722 52.5438533223737)",380000.0,1630852.0,0.025,3005,3.0,0.25,4.0,Leitung 3005,transpower,13.7,50.0,902.0,2.6
268,209,4,Al/St 240/40 4-bundle 380.0,3422.53239576,25.841,2.0,"SRID=4326;LINESTRING(8.93969252741257 52.4030332405173,9.12526570294975 52.5382640870749)",380000.0,1630911.0,0.0125,3017,6.0,0.125,4.0,Leitung 3017,TenneT,27.4,50.0,25841.0,5.2
269,119,163,Al/St 240/40 4-bundle 380.0,1711.26619788,20.419,1.0,"SRID=4326;LINESTRING(6.45655246642153 50.8713380368705,6.59601979462215 50.9525274624278)",380000.0,1632259.0,0.025,,3.0,0.25,4.0,Oberzier Süd,Amprion,13.7,50.0,20419.0,2.6
270,210,3,Al/St 240/40 4-bundle 380.0,1711.26619788,1.82,1.0,"SRID=4326;LINESTRING(9.40952032742215 52.034316665873,9.38974509624863 52.0263130660355)",380000.0,1633120.0,0.025,3013,3.0,0.25,4.0,Leitung 3013,TenneT,13.7,50.0,1820.0,2.6
271,99,211,Al/St 240/40 4-bundle 380.0,1711.26619788,20.242,1.0,"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,7.23579344536789 49.3693923629482)",380000.0,1636702.0,0.025,,3.0,0.25,4.0,Bliestal Süd,Amprion,13.7,,20242.0,2.6
272,99,69,Al/St 240/40 4-bundle 380.0,1711.26619788,125.443,1.0,"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,8.41937105938048 49.6337356823792)",380000.0,1636703.0,0.025,,3.0,0.25,4.0,Bürstadt Ltg,Amprion,13.7,50.0,125443.0,2.6
273,212,99,Al/St 240/40 4-bundle 380.0,1711.26619788,48.829,1.0,"SRID=4326;LINESTRING(6.81368431456473 49.7248340737293,6.99647659179489 49.3754093063084)",380000.0,1636708.0,0.025,,3.0,0.25,4.0,Uchtelfangen Ost,Amprion,13.7,,48829.0,2.6
274,213,214,Al/St 240/40 2-bundle 220.0,247.683265482,45.076,0.5,"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)",220000.0,1636720.0,0.16,,3.0,0.64,1.0,Rheinau Ost,Amprion,5.75,50.0,45076.0,0.65
275,69_220kV,215,Al/St 240/40 2-bundle 220.0,495.366530965,13.606,1.0,"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)",220000.0,1636721.0,0.08,,3.0,0.32,2.0,Anilin 1A,Amprion,11.5,50.0,13606.0,1.3
276,128,69,Al/St 240/40 4-bundle 380.0,1711.26619788,123.721,1.0,"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,8.41937105938048 49.6337356823792)",380000.0,1636722.0,0.025,,3.0,0.25,4.0,Soonwald West,Amprion,13.7,50.0,123721.0,2.6
277,128,69,Al/St 240/40 4-bundle 380.0,1711.26619788,123.741,1.0,"SRID=4326;LINESTRING(7.44948529010545 50.4025276621126,8.41937105938048 49.6337356823792)",380000.0,1636723.0,0.025,,3.0,0.25,4.0,Soonwald Ost,Amprion,13.7,50.0,123741.0,2.6
278,69_220kV,215,Al/St 240/40 2-bundle 220.0,495.366530965,13.604,1.0,"SRID=4326;LINESTRING(8.41937105938048 49.6337356823792,8.40826973550855 49.5285689245626)",220000.0,1636726.0,0.08,,3.0,0.32,2.0,Anilin 2B,Amprion,11.5,50.0,13604.0,1.3
279,216,69,Al/St 240/40 4-bundle 380.0,1711.26619788,111.236,1.0,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)",380000.0,1636729.0,0.025,,3.0,0.25,4.0,Kugelberg West,Amprion,13.7,50.0,111236.0,2.6
280,216,69,Al/St 240/40 4-bundle 380.0,1711.26619788,111.228,1.0,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,8.41937105938048 49.6337356823792)",380000.0,1636730.0,0.025,,3.0,0.25,4.0,Kugelberg Ost,Amprion,13.7,50.0,111228.0,2.6
281,213,214,Al/St 240/40 2-bundle 220.0,495.366530965,45.076,1.0,"SRID=4326;LINESTRING(8.58869049603326 49.8155140579794,8.5471609252134 49.4405396661002)",220000.0,1636737.0,0.08,,3.0,0.32,2.0,Rheinau West,Amprion,11.5,50.0,45076.0,1.3
282,217,98,Al/St 240/40 4-bundle 380.0,1711.26619788,7.386,1.0,"SRID=4326;LINESTRING(12.1320699705054 54.14245987564,12.2147735096776 54.1003234403618)",380000.0,1636750.0,0.025,546,3.0,0.25,4.0,546,50Hertz,13.7,50.0,7386.0,2.6
283,42_220kV,218,Al/St 240/40 2-bundle 220.0,495.366530965,41.565,1.0,"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.2135605440795 54.1119998545154)",220000.0,1636782.0,0.08,275,3.0,0.32,2.0,275,50Hertz Transmission,11.5,50.0,41565.0,1.3
284,177,42_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,106.704,1.0,"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,12.1869848227216 53.8157751724384)",220000.0,1636783.0,0.08,276;317,3.0,0.32,2.0,276/317,50Hertz Transmission,11.5,50.0,106704.0,1.3
285,219,209,Al/St 240/40 4-bundle 380.0,1711.26619788,45.492,1.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)",380000.0,1636863.0,0.025,3018,3.0,0.25,4.0,,TenneT,13.7,50.0,45492.0,2.6
286,219,220,Al/St 240/40 4-bundle 380.0,1711.26619788,15.054,1.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.65937290290079 51.9996101318907)",380000.0,1636864.0,0.025,,3.0,0.25,4.0,Eickum - Bechterdissen,TenneT,13.7,50.0,15054.0,2.6
287,219,220,Al/St 240/40 4-bundle 380.0,1711.26619788,15.048,1.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.65937290290079 51.9996101318907)",380000.0,1636865.0,0.025,,3.0,0.25,4.0,Eickum - Bechterdissen,TenneT,13.7,50.0,15048.0,2.6
288,219,209,Al/St 240/40 4-bundle 380.0,1711.26619788,45.501,1.0,"SRID=4326;LINESTRING(8.5712588278729 52.1053649602273,8.93969252741257 52.4030332405173)",380000.0,1636866.0,0.025,3018,3.0,0.25,4.0,Overstädt - Eickum,TenneT,13.7,50.0,45501.0,2.6
289,94,95,Al/St 240/40 4-bundle 380.0,1711.26619788,61.846,1.0,"SRID=4326;LINESTRING(8.30775689679575 52.3456356447783,7.88957671235007 52.2773967624078)",380000.0,1636917.0,0.025,,3.0,0.25,4.0,Niedersachsen Nord,Amprion,13.7,50.0,61846.0,2.6
