name,bus,control,type,p_nom,carrier,marginal_cost
58 Wind Onshore,58,PQ,,4.32869590283,Wind Onshore,0.0
59 Wind Onshore,59,PQ,,112.606432525,Wind Onshore,0.0
60 Wind Onshore,60,PQ,,77.81765048,Wind Onshore,0.0
62 Wind Onshore,62,PQ,,153.592985662,Wind Onshore,0.0
63 Wind Onshore,63,PQ,,15.7834481687,Wind Onshore,0.0
64 Wind Onshore,64,PQ,,2.29550964638,Wind Onshore,0.0
65 Wind Onshore,65,PQ,,26.1200405137,Wind Onshore,0.0
66 Wind Onshore,66,PQ,,34.4132463542,Wind Onshore,0.0
67 Wind Onshore,67,PQ,,72.3279923602,Wind Onshore,0.0
70 Wind Onshore,70,PQ,,132.149983123,Wind Onshore,0.0
71 Wind Onshore,71,PQ,,405.642114881,Wind Onshore,0.0
72 Wind Onshore,72,PQ,,510.054159155,Wind Onshore,0.0
73 Wind Onshore,73,PQ,,633.681488492,Wind Onshore,0.0
75 Wind Onshore,75,PQ,,602.719370584,Wind Onshore,0.0
76 Wind Onshore,76,PQ,,113.714399398,Wind Onshore,0.0
77 Wind Onshore,77,PQ,,225.599169646,Wind Onshore,0.0
79 Wind Onshore,79,PQ,,116.66596966,Wind Onshore,0.0
80 Wind Onshore,80,PQ,,36.7824924762,Wind Onshore,0.0
81 Wind Onshore,81,PQ,,384.449592248,Wind Onshore,0.0
82 Wind Onshore,82,PQ,,89.1408968614,Wind Onshore,0.0
83 Wind Onshore,83,PQ,,45.7938996393,Wind Onshore,0.0
84 Wind Onshore,84,PQ,,54.0020322251,Wind Onshore,0.0
85 Wind Onshore,85,PQ,,155.605297616,Wind Onshore,0.0
88 Wind Onshore,88,PQ,,3.75903786416,Wind Onshore,0.0
89 Wind Onshore,89,PQ,,0.20495144136,Wind Onshore,0.0
90 Wind Onshore,90,PQ,,84.5061198676,Wind Onshore,0.0
91 Wind Onshore,91,PQ,,4.60112152773,Wind Onshore,0.0
92 Wind Onshore,92,PQ,,71.0254994175,Wind Onshore,0.0
93 Wind Onshore,93,PQ,,290.937197757,Wind Onshore,0.0
97 Wind Onshore,97,PQ,,0.0266961326966,Wind Onshore,0.0
98 Wind Onshore,98,PQ,,83.9306653156,Wind Onshore,0.0
101 Wind Onshore,101,PQ,,350.979987644,Wind Onshore,0.0
102 Wind Onshore,102,PQ,,245.381700655,Wind Onshore,0.0
103 Wind Onshore,103,PQ,,0.206918168218,Wind Onshore,0.0
108 Wind Onshore,108,PQ,,2.17859329378,Wind Onshore,0.0
109 Wind Onshore,109,PQ,,2.28979314118,Wind Onshore,0.0
110 Wind Onshore,110,PQ,,76.2216146438,Wind Onshore,0.0
111 Wind Onshore,111,PQ,,320.42275108,Wind Onshore,0.0
112 Wind Onshore,112,PQ,,0.778210370106,Wind Onshore,0.0
113 Wind Onshore,113,PQ,,1.65455712572,Wind Onshore,0.0
114 Wind Onshore,114,PQ,,89.637993199,Wind Onshore,0.0
115 Wind Onshore,115,PQ,,69.5342899494,Wind Onshore,0.0
116 Wind Onshore,116,PQ,,3.53636055719,Wind Onshore,0.0
118 Wind Onshore,118,PQ,,13.4468885109,Wind Onshore,0.0
119 Wind Onshore,119,PQ,,50.5752781935,Wind Onshore,0.0
121 Wind Onshore,121,PQ,,32.6011423992,Wind Onshore,0.0
122 Wind Onshore,122,PQ,,90.7925410198,Wind Onshore,0.0
126 Wind Onshore,126,PQ,,8.72501236524,Wind Onshore,0.0
127 Wind Onshore,127,PQ,,43.2540231528,Wind Onshore,0.0
130 Wind Onshore,130,PQ,,2.41600145539,Wind Onshore,0.0
131 Wind Onshore,131,PQ,,0.540589207054,Wind Onshore,0.0
132 Wind Onshore,132,PQ,,1.46288325395,Wind Onshore,0.0
133 Wind Onshore,133,PQ,,1.46433600229,Wind Onshore,0.0
134 Wind Onshore,134,PQ,,1.28828304343,Wind Onshore,0.0
135 Wind Onshore,135,PQ,,25.8188993015,Wind Onshore,0.0
136 Wind Onshore,136,PQ,,29.1548929719,Wind Onshore,0.0
137 Wind Onshore,137,PQ,,105.296621064,Wind Onshore,0.0
139 Wind Onshore,139,PQ,,3.06138955244,Wind Onshore,0.0
140 Wind Onshore,140,PQ,,4.73874713717,Wind Onshore,0.0
141 Wind Onshore,141,PQ,,1.02575387048,Wind Onshore,0.0
142 Wind Onshore,142,PQ,,2.8970783132,Wind Onshore,0.0
144 Wind Onshore,144,PQ,,0.359496708924,Wind Onshore,0.0
145 Wind Onshore,145,PQ,,0.719596947326,Wind Onshore,0.0
146 Wind Onshore,146,PQ,,0.508453122526,Wind Onshore,0.0
147 Wind Onshore,147,PQ,,8.11781937714,Wind Onshore,0.0
148 Wind Onshore,148,PQ,,0.402699751377,Wind Onshore,0.0
149 Wind Onshore,149,PQ,,3.669011551,Wind Onshore,0.0
150 Wind Onshore,150,PQ,,1.25427791149,Wind Onshore,0.0
151 Wind Onshore,151,PQ,,19.8227688711,Wind Onshore,0.0
152 Wind Onshore,152,PQ,,28.389456755,Wind Onshore,0.0
153 Wind Onshore,153,PQ,,119.464559856,Wind Onshore,0.0
154 Wind Onshore,154,PQ,,1.21573343643,Wind Onshore,0.0
155 Wind Onshore,155,PQ,,25.239356261,Wind Onshore,0.0
158 Wind Onshore,158,PQ,,52.5273816031,Wind Onshore,0.0
161 Wind Onshore,161,PQ,,175.889627208,Wind Onshore,0.0
162 Wind Onshore,162,PQ,,0.861317127693,Wind Onshore,0.0
163 Wind Onshore,163,PQ,,45.7037068059,Wind Onshore,0.0
164 Wind Onshore,164,PQ,,17.6455290289,Wind Onshore,0.0
166 Wind Onshore,166,PQ,,8.55678386233,Wind Onshore,0.0
167 Wind Onshore,167,PQ,,3.62255952466,Wind Onshore,0.0
168 Wind Onshore,168,PQ,,13.0361134479,Wind Onshore,0.0
169 Wind Onshore,169,PQ,,0.116517735693,Wind Onshore,0.0
170 Wind Onshore,170,PQ,,0.0687883675101,Wind Onshore,0.0
171 Wind Onshore,171,PQ,,0.160624563218,Wind Onshore,0.0
172 Wind Onshore,172,PQ,,0.609451340471,Wind Onshore,0.0
173 Wind Onshore,173,PQ,,16.0223344728,Wind Onshore,0.0
174 Wind Onshore,174,PQ,,4.35414698006,Wind Onshore,0.0
175 Wind Onshore,175,PQ,,1.04303990751,Wind Onshore,0.0
176 Wind Onshore,176,PQ,,13.4980870092,Wind Onshore,0.0
177 Wind Onshore,177,PQ,,238.377761372,Wind Onshore,0.0
178 Wind Onshore,178,PQ,,25.2633910944,Wind Onshore,0.0
179 Wind Onshore,179,PQ,,502.409178069,Wind Onshore,0.0
180 Wind Onshore,180,PQ,,330.031939735,Wind Onshore,0.0
181 Wind Onshore,181,PQ,,285.625411508,Wind Onshore,0.0
182 Wind Onshore,182,PQ,,57.1885789685,Wind Onshore,0.0
183 Wind Onshore,183,PQ,,83.2771628571,Wind Onshore,0.0
185 Wind Onshore,185,PQ,,5.05377980991,Wind Onshore,0.0
186 Wind Onshore,186,PQ,,1.34577448661,Wind Onshore,0.0
187 Wind Onshore,187,PQ,,2.72184505996,Wind Onshore,0.0
188 Wind Onshore,188,PQ,,0.265989546307,Wind Onshore,0.0
189 Wind Onshore,189,PQ,,9.02988478213,Wind Onshore,0.0
190 Wind Onshore,190,PQ,,3.58404269875,Wind Onshore,0.0
192 Wind Onshore,192,PQ,,254.253327175,Wind Onshore,0.0
193 Wind Onshore,193,PQ,,1.26008164224,Wind Onshore,0.0
194 Wind Onshore,194,PQ,,0.855454008484,Wind Onshore,0.0
196 Wind Onshore,196,PQ,,0.232219951161,Wind Onshore,0.0
197 Wind Onshore,197,PQ,,27.8740104664,Wind Onshore,0.0
198 Wind Onshore,198,PQ,,3.16799906488,Wind Onshore,0.0
199 Wind Onshore,199,PQ,,1.30629298198,Wind Onshore,0.0
200 Wind Onshore,200,PQ,,0.688544563034,Wind Onshore,0.0
202 Wind Onshore,202,PQ,,85.7395569744,Wind Onshore,0.0
203 Wind Onshore,203,PQ,,99.3195792397,Wind Onshore,0.0
204 Wind Onshore,204,PQ,,38.2225747563,Wind Onshore,0.0
205 Wind Onshore,205,PQ,,4.21900521504,Wind Onshore,0.0
206 Wind Onshore,206,PQ,,11.3439712953,Wind Onshore,0.0
207 Wind Onshore,207,PQ,,38.9163677331,Wind Onshore,0.0
208 Wind Onshore,208,PQ,,9.81457352728,Wind Onshore,0.0
209 Wind Onshore,209,PQ,,179.712741143,Wind Onshore,0.0
210 Wind Onshore,210,PQ,,20.2618052811,Wind Onshore,0.0
211 Wind Onshore,211,PQ,,220.533673307,Wind Onshore,0.0
212 Wind Onshore,212,PQ,,73.0794126745,Wind Onshore,0.0
213 Wind Onshore,213,PQ,,21.4545687721,Wind Onshore,0.0
214 Wind Onshore,214,PQ,,2.39995325631,Wind Onshore,0.0
215 Wind Onshore,215,PQ,,8.98603573294,Wind Onshore,0.0
216 Wind Onshore,216,PQ,,0.202358992327,Wind Onshore,0.0
217 Wind Onshore,217,PQ,,160.697955702,Wind Onshore,0.0
218 Wind Onshore,218,PQ,,90.5922662203,Wind Onshore,0.0
219 Wind Onshore,219,PQ,,39.8191571163,Wind Onshore,0.0
221 Wind Onshore,221,PQ,,201.421956418,Wind Onshore,0.0
222 Wind Onshore,222,PQ,,56.0124084149,Wind Onshore,0.0
223 Wind Onshore,223,PQ,,25.1666668423,Wind Onshore,0.0
224 Wind Onshore,224,PQ,,49.892379932,Wind Onshore,0.0
225 Wind Onshore,225,PQ,,182.623255886,Wind Onshore,0.0
226 Wind Onshore,226,PQ,,47.5418211266,Wind Onshore,0.0
227 Wind Onshore,227,PQ,,0.548842797786,Wind Onshore,0.0
228 Wind Onshore,228,PQ,,3.80689419028,Wind Onshore,0.0
229 Wind Onshore,229,PQ,,3.57545259247,Wind Onshore,0.0
230 Wind Onshore,230,PQ,,2.24203138868,Wind Onshore,0.0
234 Wind Onshore,234,PQ,,1.26826084243,Wind Onshore,0.0
235 Wind Onshore,235,PQ,,9.02599008132,Wind Onshore,0.0
237 Wind Onshore,237,PQ,,18.0052285695,Wind Onshore,0.0
238 Wind Onshore,238,PQ,,91.1718882891,Wind Onshore,0.0
239 Wind Onshore,239,PQ,,57.3427040317,Wind Onshore,0.0
240 Wind Onshore,240,PQ,,4.50590653785,Wind Onshore,0.0
241 Wind Onshore,241,PQ,,2.25296531835,Wind Onshore,0.0
242 Wind Onshore,242,PQ,,67.7544693336,Wind Onshore,0.0
245 Wind Onshore,245,PQ,,35.8716168147,Wind Onshore,0.0
246 Wind Onshore,246,PQ,,0.980482439128,Wind Onshore,0.0
249 Wind Onshore,249,PQ,,12.3395302249,Wind Onshore,0.0
253 Wind Onshore,253,PQ,,30.5978493741,Wind Onshore,0.0
254 Wind Onshore,254,PQ,,593.230436463,Wind Onshore,0.0
255 Wind Onshore,255,PQ,,211.057769317,Wind Onshore,0.0
256 Wind Onshore,256,PQ,,3.806101238,Wind Onshore,0.0
257 Wind Onshore,257,PQ,,160.523777952,Wind Onshore,0.0
258 Wind Onshore,258,PQ,,34.9314811298,Wind Onshore,0.0
259 Wind Onshore,259,PQ,,3.98285835666,Wind Onshore,0.0
260 Wind Onshore,260,PQ,,17.4828066828,Wind Onshore,0.0
262 Wind Onshore,262,PQ,,3.02136730179,Wind Onshore,0.0
265 Wind Onshore,265,PQ,,51.2442219887,Wind Onshore,0.0
266 Wind Onshore,266,PQ,,1.68127574154,Wind Onshore,0.0
268 Wind Onshore,268,PQ,,33.5547803098,Wind Onshore,0.0
269 Wind Onshore,269,PQ,,75.0750875274,Wind Onshore,0.0
270 Wind Onshore,270,PQ,,575.368279546,Wind Onshore,0.0
271 Wind Onshore,271,PQ,,101.139399875,Wind Onshore,0.0
273 Wind Onshore,273,PQ,,9.0373397227,Wind Onshore,0.0
274 Wind Onshore,274,PQ,,82.2250352232,Wind Onshore,0.0
275 Wind Onshore,275,PQ,,14.6054088834,Wind Onshore,0.0
276 Wind Onshore,276,PQ,,188.691049163,Wind Onshore,0.0
277 Wind Onshore,277,PQ,,2.26770583626,Wind Onshore,0.0
278 Wind Onshore,278,PQ,,339.510510359,Wind Onshore,0.0
280 Wind Onshore,280,PQ,,385.361595031,Wind Onshore,0.0
283 Wind Onshore,283,PQ,,27.074037541,Wind Onshore,0.0
284 Wind Onshore,284,PQ,,83.0798418272,Wind Onshore,0.0
285 Wind Onshore,285,PQ,,323.472536333,Wind Onshore,0.0
286 Wind Onshore,286,PQ,,8.0808958712,Wind Onshore,0.0
287 Wind Onshore,287,PQ,,57.1278247463,Wind Onshore,0.0
288 Wind Onshore,288,PQ,,21.8333957759,Wind Onshore,0.0
289 Wind Onshore,289,PQ,,91.9582753388,Wind Onshore,0.0
290 Wind Onshore,290,PQ,,76.1351770479,Wind Onshore,0.0
291 Wind Onshore,291,PQ,,30.8305188023,Wind Onshore,0.0
293 Wind Onshore,293,PQ,,23.4043450629,Wind Onshore,0.0
294 Wind Onshore,294,PQ,,14.887727285,Wind Onshore,0.0
295 Wind Onshore,295,PQ,,64.502694254,Wind Onshore,0.0
296 Wind Onshore,296,PQ,,82.2786953613,Wind Onshore,0.0
297 Wind Onshore,297,PQ,,3.81841924681,Wind Onshore,0.0
298 Wind Onshore,298,PQ,,15.0918417045,Wind Onshore,0.0
299 Wind Onshore,299,PQ,,88.9528798809,Wind Onshore,0.0
300 Wind Onshore,300,PQ,,235.487328921,Wind Onshore,0.0
301 Wind Onshore,301,PQ,,109.288718785,Wind Onshore,0.0
302 Wind Onshore,302,PQ,,20.1687166138,Wind Onshore,0.0
304 Wind Onshore,304,PQ,,201.699554501,Wind Onshore,0.0
305 Wind Onshore,305,PQ,,0.524108115665,Wind Onshore,0.0
306 Wind Onshore,306,PQ,,0.352420710612,Wind Onshore,0.0
309 Wind Onshore,309,PQ,,82.0353612917,Wind Onshore,0.0
310 Wind Onshore,310,PQ,,6.65472673495,Wind Onshore,0.0
311 Wind Onshore,311,PQ,,119.710848522,Wind Onshore,0.0
313 Wind Onshore,313,PQ,,39.469005702,Wind Onshore,0.0
314 Wind Onshore,314,PQ,,3.4294999088,Wind Onshore,0.0
316 Wind Onshore,316,PQ,,5.10582944022,Wind Onshore,0.0
318 Wind Onshore,318,PQ,,38.9505114335,Wind Onshore,0.0
319 Wind Onshore,319,PQ,,47.3717915205,Wind Onshore,0.0
320 Wind Onshore,320,PQ,,1.23166024502,Wind Onshore,0.0
321 Wind Onshore,321,PQ,,2.16920079779,Wind Onshore,0.0
323 Wind Onshore,323,PQ,,53.0956287692,Wind Onshore,0.0
324 Wind Onshore,324,PQ,,99.0752999943,Wind Onshore,0.0
325 Wind Onshore,325,PQ,,25.6556410363,Wind Onshore,0.0
326 Wind Onshore,326,PQ,,65.61125218,Wind Onshore,0.0
327 Wind Onshore,327,PQ,,170.437781001,Wind Onshore,0.0
328 Wind Onshore,328,PQ,,0.00434449024199,Wind Onshore,0.0
329 Wind Onshore,329,PQ,,0.626493907051,Wind Onshore,0.0
330 Wind Onshore,330,PQ,,2.51245968177,Wind Onshore,0.0
331 Wind Onshore,331,PQ,,4.36303730827,Wind Onshore,0.0
333 Wind Onshore,333,PQ,,1297.76442825,Wind Onshore,0.0
335 Wind Onshore,335,PQ,,28.4263216809,Wind Onshore,0.0
337 Wind Onshore,337,PQ,,2.93704756536,Wind Onshore,0.0
339 Wind Onshore,339,PQ,,17.8722009047,Wind Onshore,0.0
340 Wind Onshore,340,PQ,,93.1996278632,Wind Onshore,0.0
341 Wind Onshore,341,PQ,,148.402692339,Wind Onshore,0.0
342 Wind Onshore,342,PQ,,184.14923543,Wind Onshore,0.0
343 Wind Onshore,343,PQ,,4.90197409828,Wind Onshore,0.0
344 Wind Onshore,344,PQ,,98.2933506333,Wind Onshore,0.0
345 Wind Onshore,345,PQ,,41.6820737696,Wind Onshore,0.0
346 Wind Onshore,346,PQ,,2.40210740929,Wind Onshore,0.0
347 Wind Onshore,347,PQ,,5.39742965672,Wind Onshore,0.0
348 Wind Onshore,348,PQ,,5.87366595854,Wind Onshore,0.0
349 Wind Onshore,349,PQ,,27.3564890353,Wind Onshore,0.0
350 Wind Onshore,350,PQ,,177.778741548,Wind Onshore,0.0
352 Wind Onshore,352,PQ,,4.01460326021,Wind Onshore,0.0
354 Wind Onshore,354,PQ,,2.15820669618,Wind Onshore,0.0
355 Wind Onshore,355,PQ,,23.74405048,Wind Onshore,0.0
356 Wind Onshore,356,PQ,,60.8633036939,Wind Onshore,0.0
357 Wind Onshore,357,PQ,,4.87729945362,Wind Onshore,0.0
358 Wind Onshore,358,PQ,,4.33551577107,Wind Onshore,0.0
359 Wind Onshore,359,PQ,,9.59431935716,Wind Onshore,0.0
361 Wind Onshore,361,PQ,,0.00456719955131,Wind Onshore,0.0
363 Wind Onshore,363,PQ,,1.82701375341,Wind Onshore,0.0
364 Wind Onshore,364,PQ,,0.298940300013,Wind Onshore,0.0
365 Wind Onshore,365,PQ,,3.27832133929,Wind Onshore,0.0
366 Wind Onshore,366,PQ,,3.34909004921,Wind Onshore,0.0
367 Wind Onshore,367,PQ,,1.64588987762,Wind Onshore,0.0
368 Wind Onshore,368,PQ,,11.8540035349,Wind Onshore,0.0
369 Wind Onshore,369,PQ,,262.264924035,Wind Onshore,0.0
370 Wind Onshore,370,PQ,,30.8367475842,Wind Onshore,0.0
371 Wind Onshore,371,PQ,,12.0039872819,Wind Onshore,0.0
372 Wind Onshore,372,PQ,,7.87902661745,Wind Onshore,0.0
373 Wind Onshore,373,PQ,,2.75749675502,Wind Onshore,0.0
374 Wind Onshore,374,PQ,,23.9585741942,Wind Onshore,0.0
375 Wind Onshore,375,PQ,,1.95633185604,Wind Onshore,0.0
376 Wind Onshore,376,PQ,,17.7082761196,Wind Onshore,0.0
377 Wind Onshore,377,PQ,,20.7585904677,Wind Onshore,0.0
378 Wind Onshore,378,PQ,,0.161123144974,Wind Onshore,0.0
379 Wind Onshore,379,PQ,,0.929763183455,Wind Onshore,0.0
380 Wind Onshore,380,PQ,,199.111908709,Wind Onshore,0.0
381 Wind Onshore,381,PQ,,13.0632583963,Wind Onshore,0.0
383 Wind Onshore,383,PQ,,90.4975589655,Wind Onshore,0.0
386 Wind Onshore,386,PQ,,56.928865333,Wind Onshore,0.0
387 Wind Onshore,387,PQ,,50.7968954699,Wind Onshore,0.0
388 Wind Onshore,388,PQ,,16.0633432056,Wind Onshore,0.0
389 Wind Onshore,389,PQ,,218.675423603,Wind Onshore,0.0
390 Wind Onshore,390,PQ,,30.1310283897,Wind Onshore,0.0
392 Wind Onshore,392,PQ,,0.289238434706,Wind Onshore,0.0
393 Wind Onshore,393,PQ,,26.2930875243,Wind Onshore,0.0
394 Wind Onshore,394,PQ,,45.6502535882,Wind Onshore,0.0
395 Wind Onshore,395,PQ,,1.21534084768,Wind Onshore,0.0
396 Wind Onshore,396,PQ,,3.306939311,Wind Onshore,0.0
397 Wind Onshore,397,PQ,,29.7730350488,Wind Onshore,0.0
398 Wind Onshore,398,PQ,,121.31240995,Wind Onshore,0.0
399 Wind Onshore,399,PQ,,0.832524410153,Wind Onshore,0.0
400 Wind Onshore,400,PQ,,10.0864820071,Wind Onshore,0.0
401 Wind Onshore,401,PQ,,70.0983272434,Wind Onshore,0.0
402 Wind Onshore,402,PQ,,205.513321072,Wind Onshore,0.0
405 Wind Onshore,405,PQ,,0.734589478908,Wind Onshore,0.0
406 Wind Onshore,406,PQ,,1.10210758817,Wind Onshore,0.0
409 Wind Onshore,409,PQ,,0.226056957693,Wind Onshore,0.0
410 Wind Onshore,410,PQ,,3.97118800864,Wind Onshore,0.0
411 Wind Onshore,411,PQ,,214.719214758,Wind Onshore,0.0
412 Wind Onshore,412,PQ,,414.115976321,Wind Onshore,0.0
414 Wind Onshore,414,PQ,,22.7079271365,Wind Onshore,0.0
415 Wind Onshore,415,PQ,,42.3523424512,Wind Onshore,0.0
416 Wind Onshore,416,PQ,,0.0949711377878,Wind Onshore,0.0
417 Wind Onshore,417,PQ,,0.0159577330889,Wind Onshore,0.0
418 Wind Onshore,418,PQ,,0.837260326848,Wind Onshore,0.0
422 Wind Onshore,422,PQ,,2.1470467446e-08,Wind Onshore,0.0
423 Wind Onshore,423,PQ,,0.147716007334,Wind Onshore,0.0
424 Wind Onshore,424,PQ,,1.68832442006,Wind Onshore,0.0
425 Wind Onshore,425,PQ,,73.4862311837,Wind Onshore,0.0
426 Wind Onshore,426,PQ,,56.4599127019,Wind Onshore,0.0
427 Wind Onshore,427,PQ,,0.247292713667,Wind Onshore,0.0
428 Wind Onshore,428,PQ,,70.6335891308,Wind Onshore,0.0
429 Wind Onshore,429,PQ,,17.1359833072,Wind Onshore,0.0
430 Wind Onshore,430,PQ,,63.2071733464,Wind Onshore,0.0
431 Wind Onshore,431,PQ,,79.1072159825,Wind Onshore,0.0
432 Wind Onshore,432,PQ,,0.0361579458313,Wind Onshore,0.0
433 Wind Onshore,433,PQ,,0.0610682185031,Wind Onshore,0.0
434 Wind Onshore,434,PQ,,0.000455522242349,Wind Onshore,0.0
435 Wind Onshore,435,PQ,,1.22999224722,Wind Onshore,0.0
436 Wind Onshore,436,PQ,,43.8638910737,Wind Onshore,0.0
437 Wind Onshore,437,PQ,,3.29824335081,Wind Onshore,0.0
438 Wind Onshore,438,PQ,,7.96885916892,Wind Onshore,0.0
439 Wind Onshore,439,PQ,,0.343307573159,Wind Onshore,0.0
440 Wind Onshore,440,PQ,,81.7672084659,Wind Onshore,0.0
441 Wind Onshore,441,PQ,,192.966587575,Wind Onshore,0.0
442 Wind Onshore,442,PQ,,35.2002569935,Wind Onshore,0.0
443 Wind Onshore,443,PQ,,108.220145939,Wind Onshore,0.0
444 Wind Onshore,444,PQ,,61.2238159146,Wind Onshore,0.0
445 Wind Onshore,445,PQ,,176.213655222,Wind Onshore,0.0
446 Wind Onshore,446,PQ,,234.376272084,Wind Onshore,0.0
447 Wind Onshore,447,PQ,,246.029905672,Wind Onshore,0.0
448 Wind Onshore,448,PQ,,0.805984486427,Wind Onshore,0.0
449 Wind Onshore,449,PQ,,1.21335617518,Wind Onshore,0.0
451 Wind Onshore,451,PQ,,1.01257029068,Wind Onshore,0.0
452 Wind Onshore,452,PQ,,138.839906457,Wind Onshore,0.0
453 Wind Onshore,453,PQ,,109.821439285,Wind Onshore,0.0
454 Wind Onshore,454,PQ,,4.66913458007,Wind Onshore,0.0
455 Wind Onshore,455,PQ,,0.124454538855,Wind Onshore,0.0
456 Wind Onshore,456,PQ,,0.673857688536,Wind Onshore,0.0
457 Wind Onshore,457,PQ,,3.4935608962,Wind Onshore,0.0
459 Wind Onshore,459,PQ,,0.928187582185,Wind Onshore,0.0
460 Wind Onshore,460,PQ,,0.213536185243,Wind Onshore,0.0
461 Wind Onshore,461,PQ,,3.73281623771,Wind Onshore,0.0
462 Wind Onshore,462,PQ,,0.521719224928,Wind Onshore,0.0
463 Wind Onshore,463,PQ,,19.3063857702,Wind Onshore,0.0
464 Wind Onshore,464,PQ,,1.37650939265,Wind Onshore,0.0
465 Wind Onshore,465,PQ,,1.0778860584,Wind Onshore,0.0
466 Wind Onshore,466,PQ,,0.073776456668,Wind Onshore,0.0
467 Wind Onshore,467,PQ,,0.0261115323765,Wind Onshore,0.0
468 Wind Onshore,468,PQ,,25.0845450748,Wind Onshore,0.0
469 Wind Onshore,469,PQ,,2.77964085133,Wind Onshore,0.0
470 Wind Onshore,470,PQ,,17.8681570236,Wind Onshore,0.0
471 Wind Onshore,471,PQ,,1.29719736092,Wind Onshore,0.0
472 Wind Onshore,472,PQ,,89.339497458,Wind Onshore,0.0
473 Wind Onshore,473,PQ,,26.3289024862,Wind Onshore,0.0
474 Wind Onshore,474,PQ,,119.651672188,Wind Onshore,0.0
475 Wind Onshore,475,PQ,,134.800517856,Wind Onshore,0.0
476 Wind Onshore,476,PQ,,29.5508022611,Wind Onshore,0.0
477 Wind Onshore,477,PQ,,10.763986748,Wind Onshore,0.0
478 Wind Onshore,478,PQ,,0.211614489114,Wind Onshore,0.0
479 Wind Onshore,479,PQ,,41.0786982606,Wind Onshore,0.0
480 Wind Onshore,480,PQ,,12.0197862477,Wind Onshore,0.0
481 Wind Onshore,481,PQ,,37.466518157,Wind Onshore,0.0
482 Wind Onshore,482,PQ,,39.3953665018,Wind Onshore,0.0
483 Wind Onshore,483,PQ,,5.98760147471,Wind Onshore,0.0
484 Wind Onshore,484,PQ,,5.67979087386,Wind Onshore,0.0
485 Wind Onshore,485,PQ,,25.9924891673,Wind Onshore,0.0
486 Wind Onshore,486,PQ,,7.45450093216,Wind Onshore,0.0
487 Wind Onshore,487,PQ,,7.95800152789,Wind Onshore,0.0
488 Wind Onshore,488,PQ,,0.00131066478912,Wind Onshore,0.0
489 Wind Onshore,489,PQ,,88.2646125587,Wind Onshore,0.0
490 Wind Onshore,490,PQ,,33.260903116,Wind Onshore,0.0
491 Wind Onshore,491,PQ,,1.39975698126,Wind Onshore,0.0
492 Wind Onshore,492,PQ,,6.97236853525,Wind Onshore,0.0
493 Wind Onshore,493,PQ,,4.73049465924,Wind Onshore,0.0
494 Wind Onshore,494,PQ,,1.93101668749,Wind Onshore,0.0
495 Wind Onshore,495,PQ,,219.092115221,Wind Onshore,0.0
2_220kV Wind Onshore,2_220kV,PQ,,21.3664022656,Wind Onshore,0.0
5_220kV Wind Onshore,5_220kV,PQ,,68.762601706,Wind Onshore,0.0
10_220kV Wind Onshore,10_220kV,PQ,,480.698670974,Wind Onshore,0.0
12_220kV Wind Onshore,12_220kV,PQ,,334.885742705,Wind Onshore,0.0
13_220kV Wind Onshore,13_220kV,PQ,,13.279826168,Wind Onshore,0.0
15_220kV Wind Onshore,15_220kV,PQ,,0.0342484524703,Wind Onshore,0.0
18_220kV Wind Onshore,18_220kV,PQ,,227.66202248,Wind Onshore,0.0
20_220kV Wind Onshore,20_220kV,PQ,,12.0589307388,Wind Onshore,0.0
22_220kV Wind Onshore,22_220kV,PQ,,1289.24118792,Wind Onshore,0.0
24_220kV Wind Onshore,24_220kV,PQ,,99.4400143411,Wind Onshore,0.0
26_220kV Wind Onshore,26_220kV,PQ,,86.7132172475,Wind Onshore,0.0
30_220kV Wind Onshore,30_220kV,PQ,,98.4341164973,Wind Onshore,0.0
32_220kV Wind Onshore,32_220kV,PQ,,238.321957679,Wind Onshore,0.0
37_220kV Wind Onshore,37_220kV,PQ,,392.815157911,Wind Onshore,0.0
42_220kV Wind Onshore,42_220kV,PQ,,99.1031638333,Wind Onshore,0.0
46_220kV Wind Onshore,46_220kV,PQ,,0.833608678014,Wind Onshore,0.0
52_220kV Wind Onshore,52_220kV,PQ,,0.171578405746,Wind Onshore,0.0
56_220kV Wind Onshore,56_220kV,PQ,,0.715522464707,Wind Onshore,0.0
61_220kV Wind Onshore,61_220kV,PQ,,103.00507623,Wind Onshore,0.0
68_220kV Wind Onshore,68_220kV,PQ,,8.98169605456,Wind Onshore,0.0
69_220kV Wind Onshore,69_220kV,PQ,,25.0367994661,Wind Onshore,0.0
74_220kV Wind Onshore,74_220kV,PQ,,758.547933152,Wind Onshore,0.0
78_220kV Wind Onshore,78_220kV,PQ,,89.4774107804,Wind Onshore,0.0
86_220kV Wind Onshore,86_220kV,PQ,,7.52357781345,Wind Onshore,0.0
87_220kV Wind Onshore,87_220kV,PQ,,95.4376729474,Wind Onshore,0.0
94_220kV Wind Onshore,94_220kV,PQ,,59.2568089536,Wind Onshore,0.0
95_220kV Wind Onshore,95_220kV,PQ,,68.1988383832,Wind Onshore,0.0
96_220kV Wind Onshore,96_220kV,PQ,,24.0689205783,Wind Onshore,0.0
99_220kV Wind Onshore,99_220kV,PQ,,64.9377498058,Wind Onshore,0.0
100_220kV Wind Onshore,100_220kV,PQ,,155.126607127,Wind Onshore,0.0
